Electronics gain (Filter, Preamp, FOAM) and phase
Total Bin : 257
Freq(MHz)	    Gain(unitless)	    Phase(rad)
0.000,0.032,-0.421
3.906,0.032,-0.421
7.812,0.032,-0.421
11.719,0.035,-1.069
15.625,0.043,-2.243
19.531,0.059,-1.994
23.438,0.053,-1.313
27.344,0.098,-1.067
31.250,0.376,-1.585
35.156,2.417,-2.959
39.062,19.649,1.774
42.969,96.729,-0.419
46.875,232.128,-2.563
50.781,328.538,1.866
54.688,404.726,0.380
58.594,462.351,-0.913
62.500,478.979,-2.077
66.406,466.560,-3.102
70.312,441.893,2.295
74.219,423.940,1.526
78.125,420.839,0.847
82.031,426.618,0.210
85.938,440.151,-0.395
89.844,460.755,-0.976
93.750,488.695,-1.538
97.656,521.873,-2.087
101.562,559.647,-2.629
105.469,601.074,3.118
109.375,644.739,2.585
113.281,688.589,2.057
117.188,730.949,1.533
121.094,771.010,1.013
125.000,807.881,0.498
128.906,840.889,-0.010
132.812,867.398,-0.511
136.719,889.429,-1.005
140.625,906.689,-1.492
144.531,919.592,-1.972
148.438,929.507,-2.444
152.344,933.539,-2.906
156.250,935.978,2.924
160.156,937.557,2.478
164.062,938.925,2.038
167.969,941.084,1.606
171.875,944.181,1.179
175.781,948.313,0.756
179.688,953.829,0.336
183.594,960.908,-0.082
187.500,968.499,-0.496
191.406,976.290,-0.910
195.312,984.646,-1.322
199.219,993.152,-1.733
203.125,1000.974,-2.143
207.031,1009.512,-2.551
210.938,1016.569,-2.958
214.844,1023.158,2.919
218.750,1029.168,2.514
222.656,1032.979,2.110
226.562,1037.467,1.709
230.469,1042.363,1.309
234.375,1047.612,0.910
238.281,1053.183,0.513
242.188,1059.153,0.115
246.094,1064.762,-0.283
250.000,1070.021,-0.681
253.906,1074.119,-1.080
257.812,1076.223,-1.480
261.719,1076.519,-1.877
265.625,1077.235,-2.278
269.531,1075.606,-2.677
273.438,1071.634,-3.075
277.344,1066.836,2.809
281.250,1060.410,2.411
285.156,1053.008,2.016
289.062,1044.957,1.620
292.969,1036.476,1.225
296.875,1027.670,0.831
300.781,1018.505,0.438
304.688,1009.353,0.047
308.594,1000.514,-0.344
312.500,992.078,-0.734
316.406,983.501,-1.124
320.312,976.015,-1.514
324.219,968.519,-1.904
328.125,960.777,-2.295
332.031,952.746,-2.687
335.938,944.354,-3.078
339.844,935.909,2.811
343.750,926.099,2.418
347.656,914.756,2.024
351.562,902.389,1.628
355.469,889.927,1.234
359.375,875.873,0.839
363.281,861.167,0.444
367.188,846.364,0.051
371.094,831.574,-0.342
375.000,815.654,-0.734
378.906,800.998,-1.125
382.812,787.355,-1.516
386.719,774.426,-1.907
390.625,762.590,-2.299
394.531,749.925,-2.693
398.438,738.038,-3.088
402.344,726.778,2.798
406.250,715.459,2.400
410.156,702.054,1.999
414.062,687.835,1.596
417.969,672.738,1.192
421.875,656.706,0.788
425.781,639.730,0.383
429.688,621.490,-0.023
433.594,602.492,-0.429
437.500,583.473,-0.834
441.406,564.504,-1.239
445.312,544.595,-1.644
449.219,524.727,-2.049
453.125,505.311,-2.453
457.031,486.190,-2.857
460.938,467.201,3.022
464.844,448.110,2.619
468.750,429.229,2.214
472.656,410.895,1.811
476.562,392.908,1.408
480.469,375.007,1.005
484.375,357.262,0.603
488.281,339.703,0.201
492.188,322.799,-0.194
496.094,306.247,-0.588
500.000,289.290,-0.996
503.906,273.116,-1.392
507.812,258.013,-1.785
511.719,243.698,-2.176
515.625,230.191,-2.563
519.531,218.002,-2.947
523.438,206.919,2.954
527.344,197.008,2.575
531.250,188.126,2.196
535.156,180.145,1.817
539.062,173.187,1.440
542.969,167.455,1.061
546.875,162.377,0.681
550.781,157.888,0.299
554.688,154.048,-0.082
558.594,151.168,-0.467
562.500,148.993,-0.854
566.406,147.529,-1.244
570.312,146.826,-1.638
574.219,146.982,-2.039
578.125,148.048,-2.445
582.031,149.834,-2.860
585.938,152.283,2.999
589.844,155.319,2.565
593.750,158.849,2.121
597.656,162.839,1.661
601.562,166.878,1.190
605.469,170.759,0.705
609.375,174.264,0.208
613.281,176.862,-0.307
617.188,178.285,-0.836
621.094,178.257,-1.379
625.000,176.649,-1.935
628.906,173.437,-2.504
632.812,167.409,-3.089
636.719,159.377,2.599
640.625,149.576,1.992
644.531,138.160,1.375
648.438,125.231,0.749
652.344,110.754,0.114
656.250,95.804,-0.526
660.156,81.054,-1.169
664.062,67.035,-1.814
667.969,53.901,-2.455
671.875,42.173,-3.090
675.781,32.264,2.568
679.688,24.192,1.954
683.594,17.824,1.353
687.500,12.875,0.768
691.406,9.154,0.200
695.312,6.433,-0.351
699.219,4.489,-0.890
703.125,3.123,-1.423
707.031,2.127,-1.930
710.938,1.445,-2.428
714.844,0.972,-2.933
718.750,0.645,2.865
722.656,0.424,2.474
726.562,0.285,1.988
730.469,0.179,1.479
734.375,0.112,1.102
738.281,0.072,0.898
742.188,0.048,0.618
746.094,0.017,0.339
750.000,0.016,0.007
753.906,0.019,-0.975
757.812,0.013,-2.695
761.719,0.021,-0.880
765.625,0.025,-1.764
769.531,0.027,-2.621
773.438,0.030,-3.040
777.344,0.039,2.740
781.250,0.019,2.189
785.156,0.023,2.321
789.062,0.025,2.146
792.969,0.019,1.338
796.875,0.015,0.231
800.781,0.027,0.325
804.688,0.014,-0.688
808.594,0.005,-2.469
812.500,0.004,2.235
816.406,0.017,-2.685
820.312,0.024,2.595
824.219,0.021,-2.782
828.125,0.020,-0.875
832.031,0.026,0.189
835.938,0.006,-0.643
839.844,0.011,-0.740
843.750,0.014,0.647
847.656,0.010,2.571
851.562,0.016,3.098
855.469,0.021,1.931
859.375,0.024,-2.971
863.281,0.024,-1.420
867.188,0.023,-1.006
871.094,0.024,-2.054
875.000,0.030,-0.943
878.906,0.033,-1.410
882.812,0.027,-2.462
886.719,0.016,-2.780
890.625,0.011,-0.573
894.531,0.028,1.258
898.438,0.032,2.679
902.344,0.019,-2.072
906.250,0.012,-0.184
910.156,0.021,-1.793
914.062,0.023,-0.263
917.969,0.020,1.612
921.875,0.018,2.106
925.781,0.026,-0.160
929.688,0.049,-1.738
933.594,0.036,2.896
937.500,0.025,3.035
941.406,0.021,-1.998
945.312,0.012,2.054
949.219,0.014,-2.199
953.125,0.028,-3.010
957.031,0.041,1.785
960.938,0.028,1.847
964.844,0.032,-2.429
968.750,0.019,-1.930
972.656,0.022,-1.023
976.562,0.028,-0.582
980.469,0.015,-1.960
984.375,0.017,1.898
988.281,0.023,-2.935
992.188,0.034,-0.824
996.094,0.038,1.164
1000.000,0.018,-2.750
