# Frequency[MHz],ampNF Ch0 [lin],ampNF Ch1 [lin],ampNF Ch2 [lin],ampNF Ch3 [lin],ampNF Ch4 [lin],ampNF Ch5 [lin],ampNF Ch6 [lin],ampNF Ch7 [lin],ampNF Ch8 [lin],ampNF Ch9 [lin],ampNF Ch10 [lin],ampNF Ch11 [lin],ampNF Ch12 [lin],ampNF Ch13 [lin],ampNF Ch14 [lin],ampNF Ch15 [lin]
0,15.2332,15.2332,15.2332,15.2332,15.2332,15.2332,15.2332,15.2332,15.2332,15.2332,15.2332,15.2332,15.2332,15.2332,15.2332,15.2332
2.00401,14.9962,14.9962,14.9962,14.9962,14.9962,14.9962,14.9962,14.9962,14.9962,14.9962,14.9962,14.9962,14.9962,14.9962,14.9962,14.9962
4.00802,14.7592,14.7592,14.7592,14.7592,14.7592,14.7592,14.7592,14.7592,14.7592,14.7592,14.7592,14.7592,14.7592,14.7592,14.7592,14.7592
6.01202,14.5222,14.5222,14.5222,14.5222,14.5222,14.5222,14.5222,14.5222,14.5222,14.5222,14.5222,14.5222,14.5222,14.5222,14.5222,14.5222
8.01603,14.2852,14.2852,14.2852,14.2852,14.2852,14.2852,14.2852,14.2852,14.2852,14.2852,14.2852,14.2852,14.2852,14.2852,14.2852,14.2852
10.02,14.0482,14.0482,14.0482,14.0482,14.0482,14.0482,14.0482,14.0482,14.0482,14.0482,14.0482,14.0482,14.0482,14.0482,14.0482,14.0482
12.024,13.8113,13.8113,13.8113,13.8113,13.8113,13.8113,13.8113,13.8113,13.8113,13.8113,13.8113,13.8113,13.8113,13.8113,13.8113,13.8113
14.0281,13.5743,13.5743,13.5743,13.5743,13.5743,13.5743,13.5743,13.5743,13.5743,13.5743,13.5743,13.5743,13.5743,13.5743,13.5743,13.5743
16.0321,13.3373,13.3373,13.3373,13.3373,13.3373,13.3373,13.3373,13.3373,13.3373,13.3373,13.3373,13.3373,13.3373,13.3373,13.3373,13.3373
18.0361,13.1003,13.1003,13.1003,13.1003,13.1003,13.1003,13.1003,13.1003,13.1003,13.1003,13.1003,13.1003,13.1003,13.1003,13.1003,13.1003
20.0401,12.8633,12.8633,12.8633,12.8633,12.8633,12.8633,12.8633,12.8633,12.8633,12.8633,12.8633,12.8633,12.8633,12.8633,12.8633,12.8633
22.0441,12.6263,12.6263,12.6263,12.6263,12.6263,12.6263,12.6263,12.6263,12.6263,12.6263,12.6263,12.6263,12.6263,12.6263,12.6263,12.6263
24.0481,12.3893,12.3893,12.3893,12.3893,12.3893,12.3893,12.3893,12.3893,12.3893,12.3893,12.3893,12.3893,12.3893,12.3893,12.3893,12.3893
26.0521,12.1523,12.1523,12.1523,12.1523,12.1523,12.1523,12.1523,12.1523,12.1523,12.1523,12.1523,12.1523,12.1523,12.1523,12.1523,12.1523
28.0561,11.9153,11.9153,11.9153,11.9153,11.9153,11.9153,11.9153,11.9153,11.9153,11.9153,11.9153,11.9153,11.9153,11.9153,11.9153,11.9153
30.0601,11.6783,11.6783,11.6783,11.6783,11.6783,11.6783,11.6783,11.6783,11.6783,11.6783,11.6783,11.6783,11.6783,11.6783,11.6783,11.6783
32.0641,11.4413,11.4413,11.4413,11.4413,11.4413,11.4413,11.4413,11.4413,11.4413,11.4413,11.4413,11.4413,11.4413,11.4413,11.4413,11.4413
34.0681,11.2043,11.2043,11.2043,11.2043,11.2043,11.2043,11.2043,11.2043,11.2043,11.2043,11.2043,11.2043,11.2043,11.2043,11.2043,11.2043
36.0721,10.9673,10.9673,10.9673,10.9673,10.9673,10.9673,10.9673,10.9673,10.9673,10.9673,10.9673,10.9673,10.9673,10.9673,10.9673,10.9673
38.0762,10.7303,10.7303,10.7303,10.7303,10.7303,10.7303,10.7303,10.7303,10.7303,10.7303,10.7303,10.7303,10.7303,10.7303,10.7303,10.7303
40.0802,10.4933,10.4933,10.4933,10.4933,10.4933,10.4933,10.4933,10.4933,10.4933,10.4933,10.4933,10.4933,10.4933,10.4933,10.4933,10.4933
