Freq (MHz) 	 Real[Z] (Ohm) 	 Imag[Z] (Ohm)
  83.33 	       103.11 	        -178.59
 100.00 	        16.63 	         -27.01
 116.67 	        44.42 	          -7.16
 133.33 	        17.85 	           0.47
 150.00 	        20.85 	          39.64
 166.67 	       136.71 	          90.10
 183.33 	        46.14 	         -79.50
 200.00 	        13.97 	         -20.86
 216.67 	        11.35 	          11.93
 233.33 	        26.35 	          56.37
 250.00 	       186.85 	          28.62
 266.67 	        36.29 	         -53.04
 283.33 	        17.95 	          -8.77
 300.00 	        23.83 	          21.17
 316.67 	        61.51 	          44.88
 333.33 	        83.86 	         -14.36
 350.00 	        51.56 	          -9.12
 366.67 	        48.40 	         -11.33
 383.33 	        31.35 	          -2.38
 400.00 	        32.32 	          24.51
 416.67 	        77.50 	          43.25
 433.33 	        82.25 	         -34.07
 450.00 	        33.79 	         -19.77
 466.67 	        27.64 	           7.87
 483.33 	        44.61 	          32.30
 500.00 	        89.61 	          14.84
 516.67 	        57.29 	         -20.89
 533.33 	        40.85 	          -1.43
 550.00 	        49.74 	          12.42
 566.67 	        61.24 	           4.14
 583.33 	        49.85 	          -0.26
 600.00 	        50.92 	          12.55
 616.67 	        68.07 	           9.49
 633.33 	        60.36 	          -7.88
 650.00 	        50.20 	          -2.12
 666.67 	        51.43 	           3.14
 683.33 	        51.57 	           4.35
 700.00 	        51.81 	          10.49
 716.67 	        65.73 	          15.97
 733.33 	        79.51 	          -7.67
 750.00 	        51.04 	         -21.33
 766.67 	        34.21 	          -2.53
 783.33 	        38.48 	          22.33
 800.00 	        74.87 	          41.33
 816.67 	       103.73 	         -24.97
 833.33 	        45.00 	         -32.38
 850.00 	        30.92 	          -5.46
 866.67 	        35.17 	          18.69
 883.33 	        64.08 	          39.76
 900.00 	       113.40 	          -0.29
 916.67 	        63.98 	         -41.12
 933.33 	        33.90 	         -20.07
 950.00 	        29.39 	           6.45
 966.67 	        43.71 	          35.46
 983.33 	       110.78 	          35.29
1000.00 	        83.84 	         -53.64
