Freq (MHz) 	 Real[Z] (Ohm) 	 Imag[Z] (Ohm)
  83.33 	         4.29 	          -3.98
 100.00 	         1.83 	          15.15
 116.67 	        22.03 	          33.78
 133.33 	         6.10 	          77.05
 150.00 	        56.49 	         178.58
 166.67 	       126.01 	        -140.75
 183.33 	        49.69 	         -51.83
 200.00 	        48.81 	         -23.47
 216.67 	        49.01 	         -28.00
 233.33 	        41.28 	         -25.89
 250.00 	        26.27 	         -23.15
 266.67 	        18.20 	          -7.13
 283.33 	        18.86 	           1.25
 300.00 	        17.01 	          16.74
 316.67 	        21.51 	          33.16
 333.33 	        36.27 	          53.15
 350.00 	        66.05 	          75.83
 366.67 	       174.03 	          67.77
 383.33 	       130.73 	         -95.71
 400.00 	        50.03 	         -76.01
 416.67 	        22.18 	         -48.85
 433.33 	        14.61 	         -26.87
 450.00 	        12.23 	         -11.66
 466.67 	        10.67 	           1.74
 483.33 	        11.83 	          16.13
 500.00 	        16.49 	          32.20
 516.67 	        25.98 	          52.21
 533.33 	        56.30 	          82.20
 550.00 	       143.48 	          86.68
 566.67 	       164.39 	         -63.68
 583.33 	        67.19 	         -77.08
 600.00 	        35.78 	         -51.47
 616.67 	        24.56 	         -32.92
 633.33 	        19.86 	         -18.83
 650.00 	        17.74 	          -7.62
 666.67 	        16.44 	           2.85
 683.33 	        16.85 	          15.02
 700.00 	        20.19 	          28.67
 716.67 	        27.41 	          45.64
 733.33 	        46.08 	          70.67
 750.00 	       108.64 	          98.85
 766.67 	       212.96 	         -24.30
 783.33 	        89.56 	         -99.58
 800.00 	        35.22 	         -67.71
 816.67 	        20.18 	         -41.63
 833.33 	        14.16 	         -24.28
 850.00 	        11.88 	          -9.62
 866.67 	        11.57 	           2.73
 883.33 	        12.77 	          15.67
 900.00 	        15.63 	          29.55
 916.67 	        22.95 	          49.55
 933.33 	        42.21 	          75.11
 950.00 	       106.55 	         115.72
 966.67 	       231.32 	         -20.80
 983.33 	        87.67 	        -105.23
1000.00 	        35.58 	         -69.49
