Freq (MHz) 	 Real[Z] (Ohm) 	 Imag[Z] (Ohm)
  83.33 	         4.01 	          26.41
 100.00 	        10.24 	          67.78
 116.67 	        52.17 	         125.38
 133.33 	        84.80 	        -379.05
 150.00 	         4.99 	         -79.90
 166.67 	         3.46 	         -31.60
 183.33 	         2.91 	          -5.74
 200.00 	         5.61 	          17.43
 216.67 	        14.56 	          45.62
 233.33 	        52.47 	          87.97
 250.00 	       181.93 	          21.21
 266.67 	        80.60 	         -65.46
 283.33 	        38.83 	         -39.42
 300.00 	        28.36 	         -18.65
 316.67 	        26.29 	          -2.99
 333.33 	        29.72 	          10.46
 350.00 	        39.40 	          22.01
 366.67 	        56.24 	          26.22
 383.33 	        72.43 	          15.73
 400.00 	        73.77 	          -3.13
 416.67 	        63.74 	         -13.01
 433.33 	        52.35 	         -13.32
 450.00 	        45.91 	          -8.61
 466.67 	        43.68 	          -2.36
 483.33 	        44.60 	           1.60
 500.00 	        46.11 	           6.50
 516.67 	        49.70 	          10.31
 533.33 	        57.67 	          12.94
 550.00 	        67.74 	           7.32
 566.67 	        69.11 	          -7.05
 583.33 	        59.04 	         -16.38
 600.00 	        47.28 	         -15.71
 616.67 	        39.39 	          -9.09
 633.33 	        36.10 	           0.46
 650.00 	        37.93 	          11.87
 666.67 	        47.42 	          22.59
 683.33 	        67.87 	          28.60
 700.00 	        94.29 	           7.52
 716.67 	        83.51 	         -30.55
 733.33 	        52.40 	         -37.79
 750.00 	        33.62 	         -25.44
 766.67 	        25.85 	         -11.40
 783.33 	        23.78 	           3.31
 800.00 	        27.29 	          18.51
 816.67 	        38.19 	          35.73
 833.33 	        68.75 	          50.58
 850.00 	       120.34 	          22.97
 866.67 	       102.11 	         -47.06
 883.33 	        52.78 	         -50.94
 900.00 	        30.99 	         -33.95
 916.67 	        23.71 	         -17.63
 933.33 	        21.31 	          -3.28
 950.00 	        23.05 	           9.91
 966.67 	        29.50 	          23.88
 983.33 	        43.59 	          37.77
1000.00 	        72.35 	          44.50
