Freq (MHz) 	 Real[Z] (Ohm) 	 Imag[Z] (Ohm)
  83.33 	        -0.69 	          19.69
 100.00 	        -1.64 	          52.93
 116.67 	        71.65 	         187.76
 133.33 	       103.32 	          -9.24
 150.00 	        99.59 	         -64.85
 166.67 	        36.83 	         -42.87
 183.33 	        18.57 	         -11.19
 200.00 	        35.61 	          14.97
 216.67 	        50.27 	          19.57
 233.33 	        86.14 	         -17.58
 250.00 	        48.49 	         -34.47
 266.67 	        19.68 	         -20.66
 283.33 	        18.67 	          -4.51
 300.00 	        15.43 	          10.29
 316.67 	        16.99 	          30.56
 333.33 	        33.64 	          54.42
 350.00 	        67.23 	          72.38
 366.67 	       195.15 	          99.83
 383.33 	       127.71 	         -64.62
 400.00 	        64.38 	         -87.35
 416.67 	        18.36 	         -60.23
 433.33 	        12.36 	         -30.03
 450.00 	         8.67 	         -16.73
 466.67 	         6.15 	          -2.15
 483.33 	         5.14 	          12.16
 500.00 	         6.73 	          30.04
 516.67 	        13.42 	          54.53
 533.33 	        25.82 	          93.27
 550.00 	       133.91 	         234.13
 566.67 	       137.20 	        -230.09
 583.33 	        15.44 	         -82.73
 600.00 	        10.77 	         -33.99
 616.67 	        20.48 	           2.55
 633.33 	        57.37 	          -1.56
 650.00 	        42.96 	         -19.56
 666.67 	        28.44 	         -20.08
 683.33 	        17.61 	          -4.22
 700.00 	        17.06 	           7.14
 716.67 	        15.48 	          19.66
 733.33 	        15.71 	          38.45
 750.00 	        27.18 	          67.39
 766.67 	        57.69 	         104.21
 783.33 	       250.01 	         163.51
 800.00 	       141.04 	        -180.90
 816.67 	        34.21 	         -92.80
 833.33 	        17.35 	         -55.22
 850.00 	        10.48 	         -32.89
 866.67 	         7.76 	         -15.49
 883.33 	         7.40 	          -3.35
 900.00 	         7.04 	           8.84
 916.67 	         7.34 	          22.69
 933.33 	         9.35 	          39.87
 950.00 	        15.05 	          64.15
 966.67 	        30.69 	         114.86
 983.33 	       174.04 	         257.82
1000.00 	       169.26 	        -268.34
