Freq (MHz) 	 Real[Z] (Ohm) 	 Imag[Z] (Ohm)
  83.33 	        50.00 	           0.00
 100.00 	        50.00 	           0.00
 116.67 	        50.00 	           0.00
 133.33 	        50.00 	           0.00
 150.00 	        50.00 	           0.00
 166.67 	        50.00 	           0.00
 183.33 	        50.00 	           0.00
 200.00 	        50.00 	           0.00
 216.67 	        50.00 	           0.00
 233.33 	        50.00 	           0.00
 250.00 	        50.00 	           0.00
 266.67 	        50.00 	           0.00
 283.33 	        50.00 	           0.00
 300.00 	        50.00 	           0.00
 316.67 	        50.00 	           0.00
 333.33 	        50.00 	           0.00
 350.00 	        50.00 	           0.00
 366.67 	        50.00 	           0.00
 383.33 	        50.00 	           0.00
 400.00 	        50.00 	           0.00
 416.67 	        50.00 	           0.00
 433.33 	        50.00 	           0.00
 450.00 	        50.00 	           0.00
 466.67 	        50.00 	           0.00
 483.33 	        50.00 	           0.00
 500.00 	        50.00 	           0.00
 516.67 	        50.00 	           0.00
 533.33 	        50.00 	           0.00
 550.00 	        50.00 	           0.00
 566.67 	        50.00 	           0.00
 583.33 	        50.00 	           0.00
 600.00 	        50.00 	           0.00
 616.67 	        50.00 	           0.00
 633.33 	        50.00 	           0.00
 650.00 	        50.00 	           0.00
 666.67 	        50.00 	           0.00
 683.33 	        50.00 	           0.00
 700.00 	        50.00 	           0.00
 716.67 	        50.00 	           0.00
 733.33 	        50.00 	           0.00
 750.00 	        50.00 	           0.00
 766.67 	        50.00 	           0.00
 783.33 	        50.00 	           0.00
 800.00 	        50.00 	           0.00
 816.67 	        50.00 	           0.00
 833.33 	        50.00 	           0.00
 850.00 	        50.00 	           0.00
 866.67 	        50.00 	           0.00
 883.33 	        50.00 	           0.00
 900.00 	        50.00 	           0.00
 916.67 	        50.00 	           0.00
 933.33 	        50.00 	           0.00
 950.00 	        50.00 	           0.00
 966.67 	        50.00 	           0.00
 983.33 	        50.00 	           0.00
1000.00 	        50.00 	           0.00
