n : 1.0
freq : 83.33 MHz
SWR : 9.207
 Theta   Phi 	 Gain(dB)   	   Gain   	   Phase(deg)
  0   0   -23.663     0.004302      -3358.162
  5   0   -21.520     0.007047      -3361.127
 10   0   -19.370     0.011562      -3364.259
 15   0   -17.125     0.019386      -3365.322
 20   0   -14.685     0.033999      -3365.429
 25   0   -13.841     0.041291      -3364.843
 30   0   -13.605     0.043601      -3364.745
 35   0   -11.786     0.066282      -3364.395
 40   0   -10.535     0.088400      -3363.269
 45   0   -11.094     0.077724      -3363.818
 50   0   -10.456     0.090031      -3361.596
 55   0    -9.390     0.115079      -3360.211
 60   0    -9.508     0.111988      -3361.060
 65   0    -8.881     0.129383      -3363.670
 70   0   -10.057     0.098705      -3363.217
 75   0   -10.105     0.097620      -3362.540
 80   0   -10.262     0.094149      -3363.050
 85   0   -11.472     0.071253      -3361.426
 90   0   -11.750     0.066827      -3363.795
 95   0   -11.597     0.069239      -3365.985
100   0   -10.617     0.086747      -3364.543
105   0    -9.870     0.103040      -3362.238
110   0    -9.809     0.104492      -3363.590
115   0    -9.183     0.120700      -3365.170
120   0    -9.272     0.118238      -3364.836
125   0    -9.610     0.109400      -3361.438
130   0    -9.665     0.108009      -3362.300
135   0   -10.795     0.083276      -3360.630
140   0   -10.932     0.080692      -3358.851
145   0   -11.472     0.071256      -3359.205
150   0   -13.900     0.040735      -3001.397
155   0   -13.950     0.040274      -3001.117
160   0   -14.780     0.033265      -3002.423
165   0   -16.851     0.020650      -3362.547
170   0   -19.245     0.011900      -3004.559
175   0   -21.426     0.007200      -3007.170
180   0   -22.711     0.005356      -3008.948
  0   5   -23.663     0.004302      -3358.162
  5   5   -21.520     0.007047      -3361.127
 10   5   -19.370     0.011562      -3364.259
 15   5   -17.125     0.019386      -3365.322
 20   5   -14.685     0.033999      -3365.429
 25   5   -13.841     0.041291      -3364.843
 30   5   -13.605     0.043601      -3364.745
 35   5   -11.786     0.066282      -3364.395
 40   5   -10.535     0.088400      -3363.269
 45   5   -11.094     0.077724      -3363.818
 50   5   -10.456     0.090031      -3361.596
 55   5    -9.390     0.115079      -3360.211
 60   5    -9.508     0.111988      -3361.060
 65   5    -8.881     0.129383      -3363.670
 70   5   -10.057     0.098705      -3363.217
 75   5   -10.105     0.097620      -3362.540
 80   5   -10.262     0.094149      -3363.050
 85   5   -11.472     0.071253      -3361.426
 90   5   -11.750     0.066827      -3363.795
 95   5   -11.597     0.069239      -3365.985
100   5   -10.617     0.086747      -3364.543
105   5    -9.870     0.103040      -3362.238
110   5    -9.809     0.104492      -3363.590
115   5    -9.183     0.120700      -3365.170
120   5    -9.272     0.118238      -3364.836
125   5    -9.610     0.109400      -3361.438
130   5    -9.665     0.108009      -3362.300
135   5   -10.795     0.083276      -3360.630
140   5   -10.932     0.080692      -3358.851
145   5   -11.472     0.071256      -3359.205
150   5   -13.900     0.040735      -3001.397
155   5   -13.950     0.040274      -3001.117
160   5   -14.780     0.033265      -3002.423
165   5   -16.851     0.020650      -3362.547
170   5   -19.245     0.011900      -3004.559
175   5   -21.426     0.007200      -3007.170
180   5   -22.711     0.005356      -3008.948
  0  10   -23.663     0.004302      -3358.162
  5  10   -21.520     0.007047      -3361.127
 10  10   -19.370     0.011562      -3364.259
 15  10   -17.125     0.019386      -3365.322
 20  10   -14.685     0.033999      -3365.429
 25  10   -13.841     0.041291      -3364.843
 30  10   -13.605     0.043601      -3364.745
 35  10   -11.786     0.066282      -3364.395
 40  10   -10.535     0.088400      -3363.269
 45  10   -11.094     0.077724      -3363.818
 50  10   -10.456     0.090031      -3361.596
 55  10    -9.390     0.115079      -3360.211
 60  10    -9.508     0.111988      -3361.060
 65  10    -8.881     0.129383      -3363.670
 70  10   -10.057     0.098705      -3363.217
 75  10   -10.105     0.097620      -3362.540
 80  10   -10.262     0.094149      -3363.050
 85  10   -11.472     0.071253      -3361.426
 90  10   -11.750     0.066827      -3363.795
 95  10   -11.597     0.069239      -3365.985
100  10   -10.617     0.086747      -3364.543
105  10    -9.870     0.103040      -3362.238
110  10    -9.809     0.104492      -3363.590
115  10    -9.183     0.120700      -3365.170
120  10    -9.272     0.118238      -3364.836
125  10    -9.610     0.109400      -3361.438
130  10    -9.665     0.108009      -3362.300
135  10   -10.795     0.083276      -3360.630
140  10   -10.932     0.080692      -3358.851
145  10   -11.472     0.071256      -3359.205
150  10   -13.900     0.040735      -3001.397
155  10   -13.950     0.040274      -3001.117
160  10   -14.780     0.033265      -3002.423
165  10   -16.851     0.020650      -3362.547
170  10   -19.245     0.011900      -3004.559
175  10   -21.426     0.007200      -3007.170
180  10   -22.711     0.005356      -3008.948
  0  15   -23.663     0.004302      -3358.162
  5  15   -21.520     0.007047      -3361.127
 10  15   -19.370     0.011562      -3364.259
 15  15   -17.125     0.019386      -3365.322
 20  15   -14.685     0.033999      -3365.429
 25  15   -13.841     0.041291      -3364.843
 30  15   -13.605     0.043601      -3364.745
 35  15   -11.786     0.066282      -3364.395
 40  15   -10.535     0.088400      -3363.269
 45  15   -11.094     0.077724      -3363.818
 50  15   -10.456     0.090031      -3361.596
 55  15    -9.390     0.115079      -3360.211
 60  15    -9.508     0.111988      -3361.060
 65  15    -8.881     0.129383      -3363.670
 70  15   -10.057     0.098705      -3363.217
 75  15   -10.105     0.097620      -3362.540
 80  15   -10.262     0.094149      -3363.050
 85  15   -11.472     0.071253      -3361.426
 90  15   -11.750     0.066827      -3363.795
 95  15   -11.597     0.069239      -3365.985
100  15   -10.617     0.086747      -3364.543
105  15    -9.870     0.103040      -3362.238
110  15    -9.809     0.104492      -3363.590
115  15    -9.183     0.120700      -3365.170
120  15    -9.272     0.118238      -3364.836
125  15    -9.610     0.109400      -3361.438
130  15    -9.665     0.108009      -3362.300
135  15   -10.795     0.083276      -3360.630
140  15   -10.932     0.080692      -3358.851
145  15   -11.472     0.071256      -3359.205
150  15   -13.900     0.040735      -3001.397
155  15   -13.950     0.040274      -3001.117
160  15   -14.780     0.033265      -3002.423
165  15   -16.851     0.020650      -3362.547
170  15   -19.245     0.011900      -3004.559
175  15   -21.426     0.007200      -3007.170
180  15   -22.711     0.005356      -3008.948
  0  20   -23.663     0.004302      -3358.162
  5  20   -21.520     0.007047      -3361.127
 10  20   -19.370     0.011562      -3364.259
 15  20   -17.125     0.019386      -3365.322
 20  20   -14.685     0.033999      -3365.429
