n : 1.0
freq : 83.33 MHz
SWR : 7.037
 Theta   Phi 	 Gain(dB)   	   Gain   	   Phase(deg)
  0   0   -22.918     0.005108      -3278.156
  5   0   -22.391     0.005766      -3280.107
 10   0   -22.900     0.005128      -3279.013
 15   0   -23.627     0.004338      -3279.437
 20   0   -27.158     0.001924      -3277.940
 25   0   -25.293     0.002956      -3280.579
 30   0   -24.760     0.003342      -3282.790
 35   0   -25.105     0.003087      -3285.018
 40   0   -24.056     0.003930      -3286.737
 45   0   -22.439     0.005702      -3288.296
 50   0   -22.080     0.006194      -3290.323
 55   0   -20.756     0.008403      -3292.228
 60   0   -18.813     0.013144      -3292.522
 65   0   -17.046     0.019743      -3292.148
 70   0   -15.753     0.026587      -3291.024
 75   0   -14.470     0.035726      -3293.342
 80   0   -13.332     0.046435      -3290.837
 85   0   -12.424     0.057232      -3292.729
 90   0   -11.489     0.070969      -3291.456
 95   0   -12.267     0.059331      -3291.253
100   0   -12.903     0.051257      -3293.462
105   0   -14.463     0.035785      -3293.614
110   0   -15.796     0.026327      -3296.774
115   0   -16.706     0.021350      -3294.658
120   0   -18.677     0.013562      -3296.730
125   0   -19.926     0.010171      -3297.058
130   0   -22.512     0.005608      -3296.115
135   0   -23.296     0.004682      -3295.435
140   0   -24.048     0.003937      -3295.183
145   0   -25.999     0.002512      -3295.348
150   0   -25.764     0.002652      -3295.036
155   0   -26.218     0.002389      -3295.518
160   0   -27.732     0.001686      -3295.935
165   0   -23.835     0.004135      -3296.506
170   0   -22.659     0.005421      -3296.502
175   0   -21.459     0.007146      -3297.619
180   0   -21.864     0.006510      -3295.629
  0   5   -22.918     0.005108      -3278.156
  5   5   -22.391     0.005766      -3280.107
 10   5   -22.900     0.005128      -3279.013
 15   5   -23.627     0.004338      -3279.437
 20   5   -27.158     0.001924      -3277.940
 25   5   -25.293     0.002956      -3280.579
 30   5   -24.760     0.003342      -3282.790
 35   5   -25.105     0.003087      -3285.018
 40   5   -24.056     0.003930      -3286.737
 45   5   -22.439     0.005702      -3288.296
 50   5   -22.080     0.006194      -3290.323
 55   5   -20.756     0.008403      -3292.228
 60   5   -18.813     0.013144      -3292.522
 65   5   -17.046     0.019743      -3292.148
 70   5   -15.753     0.026587      -3291.024
 75   5   -14.470     0.035726      -3293.342
 80   5   -13.332     0.046435      -3290.837
 85   5   -12.424     0.057232      -3292.729
 90   5   -11.489     0.070969      -3291.456
 95   5   -12.267     0.059331      -3291.253
100   5   -12.903     0.051257      -3293.462
105   5   -14.463     0.035785      -3293.614
110   5   -15.796     0.026327      -3296.774
115   5   -16.706     0.021350      -3294.658
120   5   -18.677     0.013562      -3296.730
125   5   -19.926     0.010171      -3297.058
130   5   -22.512     0.005608      -3296.115
135   5   -23.296     0.004682      -3295.435
140   5   -24.048     0.003937      -3295.183
145   5   -25.999     0.002512      -3295.348
150   5   -25.764     0.002652      -3295.036
155   5   -26.218     0.002389      -3295.518
160   5   -27.732     0.001686      -3295.935
165   5   -23.835     0.004135      -3296.506
170   5   -22.659     0.005421      -3296.502
175   5   -21.459     0.007146      -3297.619
180   5   -21.864     0.006510      -3295.629
  0  10   -22.918     0.005108      -3278.156
  5  10   -22.391     0.005766      -3280.107
 10  10   -22.900     0.005128      -3279.013
 15  10   -23.627     0.004338      -3279.437
 20  10   -27.158     0.001924      -3277.940
 25  10   -25.293     0.002956      -3280.579
 30  10   -24.760     0.003342      -3282.790
 35  10   -25.105     0.003087      -3285.018
 40  10   -24.056     0.003930      -3286.737
 45  10   -22.439     0.005702      -3288.296
 50  10   -22.080     0.006194      -3290.323
 55  10   -20.756     0.008403      -3292.228
 60  10   -18.813     0.013144      -3292.522
 65  10   -17.046     0.019743      -3292.148
 70  10   -15.753     0.026587      -3291.024
 75  10   -14.470     0.035726      -3293.342
 80  10   -13.332     0.046435      -3290.837
 85  10   -12.424     0.057232      -3292.729
 90  10   -11.489     0.070969      -3291.456
 95  10   -12.267     0.059331      -3291.253
100  10   -12.903     0.051257      -3293.462
105  10   -14.463     0.035785      -3293.614
110  10   -15.796     0.026327      -3296.774
115  10   -16.706     0.021350      -3294.658
120  10   -18.677     0.013562      -3296.730
125  10   -19.926     0.010171      -3297.058
130  10   -22.512     0.005608      -3296.115
135  10   -23.296     0.004682      -3295.435
140  10   -24.048     0.003937      -3295.183
145  10   -25.999     0.002512      -3295.348
150  10   -25.764     0.002652      -3295.036
155  10   -26.218     0.002389      -3295.518
160  10   -27.732     0.001686      -3295.935
165  10   -23.835     0.004135      -3296.506
170  10   -22.659     0.005421      -3296.502
175  10   -21.459     0.007146      -3297.619
180  10   -21.864     0.006510      -3295.629
  0  15   -22.918     0.005108      -3278.156
  5  15   -22.391     0.005766      -3280.107
 10  15   -22.900     0.005128      -3279.013
 15  15   -23.627     0.004338      -3279.437
 20  15   -27.158     0.001924      -3277.940
 25  15   -25.293     0.002956      -3280.579
 30  15   -24.760     0.003342      -3282.790
 35  15   -25.105     0.003087      -3285.018
 40  15   -24.056     0.003930      -3286.737
 45  15   -22.439     0.005702      -3288.296
 50  15   -22.080     0.006194      -3290.323
 55  15   -20.756     0.008403      -3292.228
 60  15   -18.813     0.013144      -3292.522
 65  15   -17.046     0.019743      -3292.148
 70  15   -15.753     0.026587      -3291.024
 75  15   -14.470     0.035726      -3293.342
 80  15   -13.332     0.046435      -3290.837
 85  15   -12.424     0.057232      -3292.729
 90  15   -11.489     0.070969      -3291.456
 95  15   -12.267     0.059331      -3291.253
100  15   -12.903     0.051257      -3293.462
105  15   -14.463     0.035785      -3293.614
110  15   -15.796     0.026327      -3296.774
115  15   -16.706     0.021350      -3294.658
120  15   -18.677     0.013562      -3296.730
125  15   -19.926     0.010171      -3297.058
130  15   -22.512     0.005608      -3296.115
135  15   -23.296     0.004682      -3295.435
140  15   -24.048     0.003937      -3295.183
145  15   -25.999     0.002512      -3295.348
150  15   -25.764     0.002652      -3295.036
155  15   -26.218     0.002389      -3295.518
160  15   -27.732     0.001686      -3295.935
165  15   -23.835     0.004135      -3296.506
170  15   -22.659     0.005421      -3296.502
175  15   -21.459     0.007146      -3297.619
180  15   -21.864     0.006510      -3295.629
  0  20   -22.918     0.005108      -3278.156
  5  20   -22.391     0.005766      -3280.107
 10  20   -22.900     0.005128      -3279.013
 15  20   -23.627     0.004338      -3279.437
 20  20   -27.158     0.001924      -3277.940
 25  20   -25.293     0.002956      -3280.579
 30  20   -24.760     0.003342      -3282.790
 35  20   -25.105     0.003087      -3285.018
 40  20   -24.056     0.003930      -3286.737
 45  20   -22.439     0.005702      -3288.296
 50  20   -22.080     0.006194      -3290.323
 55  20   -20.756     0.008403      -3292.228
 60  20   -18.813     0.013144      -3292.522
 65  20   -17.046     0.019743      -3292.148
 70  20   -15.753     0.026587      -3291.024
 75  20   -14.470     0.035726      -3293.342
 80  20   -13.332     0.046435      -3290.837
 85  20   -12.424     0.057232      -3292.729
 90  20   -11.489     0.070969      -3291.456
 95  20   -12.267     0.059331      -3291.253
100  20   -12.903     0.051257      -3293.462
105  20   -14.463     0.035785      -3293.614
110  20   -15.796     0.026327      -3296.774
115  20   -16.706     0.021350      -3294.658
120  20   -18.677     0.013562      -3296.730
125  20   -19.926     0.010171      -3297.058
130  20   -22.512     0.005608      -3296.115
135  20   -23.296     0.004682      -3295.435
140  20   -24.048     0.003937      -3295.183
145  20   -25.999     0.002512      -3295.348
150  20   -25.764     0.002652      -3295.036
155  20   -26.218     0.002389      -3295.518
160  20   -27.732     0.001686      -3295.935
165  20   -23.835     0.004135      -3296.506
170  20   -22.659     0.005421      -3296.502
175  20   -21.459     0.007146      -3297.619
180  20   -21.864     0.006510      -3295.629
  0  25   -22.918     0.005108      -3278.156
  5  25   -22.391     0.005766      -3280.107
 10  25   -22.900     0.005128      -3279.013
 15  25   -23.627     0.004338      -3279.437
 20  25   -27.158     0.001924      -3277.940
 25  25   -25.293     0.002956      -3280.579
 30  25   -24.760     0.003342      -3282.790
 35  25   -25.105     0.003087      -3285.018
 40  25   -24.056     0.003930      -3286.737
 45  25   -22.439     0.005702      -3288.296
 50  25   -22.080     0.006194      -3290.323
 55  25   -20.756     0.008403      -3292.228
 60  25   -18.813     0.013144      -3292.522
 65  25   -17.046     0.019743      -3292.148
 70  25   -15.753     0.026587      -3291.024
 75  25   -14.470     0.035726      -3293.342
 80  25   -13.332     0.046435      -3290.837
 85  25   -12.424     0.057232      -3292.729
 90  25   -11.489     0.070969      -3291.456
 95  25   -12.267     0.059331      -3291.253
100  25   -12.903     0.051257      -3293.462
105  25   -14.463     0.035785      -3293.614
110  25   -15.796     0.026327      -3296.774
115  25   -16.706     0.021350      -3294.658
120  25   -18.677     0.013562      -3296.730
125  25   -19.926     0.010171      -3297.058
130  25   -22.512     0.005608      -3296.115
135  25   -23.296     0.004682      -3295.435
140  25   -24.048     0.003937      -3295.183
145  25   -25.999     0.002512      -3295.348
150  25   -25.764     0.002652      -3295.036
155  25   -26.218     0.002389      -3295.518
160  25   -27.732     0.001686      -3295.935
165  25   -23.835     0.004135      -3296.506
170  25   -22.659     0.005421      -3296.502
175  25   -21.459     0.007146      -3297.619
180  25   -21.864     0.006510      -3295.629
  0  30   -22.918     0.005108      -3278.156
  5  30   -22.391     0.005766      -3280.107
 10  30   -22.900     0.005128      -3279.013
 15  30   -23.627     0.004338      -3279.437
 20  30   -27.158     0.001924      -3277.940
 25  30   -25.293     0.002956      -3280.579
 30  30   -24.760     0.003342      -3282.790
 35  30   -25.105     0.003087      -3285.018
 40  30   -24.056     0.003930      -3286.737
 45  30   -22.439     0.005702      -3288.296
 50  30   -22.080     0.006194      -3290.323
 55  30   -20.756     0.008403      -3292.228
 60  30   -18.813     0.013144      -3292.522
 65  30   -17.046     0.019743      -3292.148
 70  30   -15.753     0.026587      -3291.024
 75  30   -14.470     0.035726      -3293.342
 80  30   -13.332     0.046435      -3290.837
 85  30   -12.424     0.057232      -3292.729
 90  30   -11.489     0.070969      -3291.456
 95  30   -12.267     0.059331      -3291.253
100  30   -12.903     0.051257      -3293.462
105  30   -14.463     0.035785      -3293.614
110  30   -15.796     0.026327      -3296.774
115  30   -16.706     0.021350      -3294.658
120  30   -18.677     0.013562      -3296.730
125  30   -19.926     0.010171      -3297.058
130  30   -22.512     0.005608      -3296.115
135  30   -23.296     0.004682      -3295.435
140  30   -24.048     0.003937      -3295.183
145  30   -25.999     0.002512      -3295.348
150  30   -25.764     0.002652      -3295.036
155  30   -26.218     0.002389      -3295.518
160  30   -27.732     0.001686      -3295.935
165  30   -23.835     0.004135      -3296.506
170  30   -22.659     0.005421      -3296.502
175  30   -21.459     0.007146      -3297.619
180  30   -21.864     0.006510      -3295.629
  0  35   -22.918     0.005108      -3278.156
  5  35   -22.391     0.005766      -3280.107
 10  35   -22.900     0.005128      -3279.013
 15  35   -23.627     0.004338      -3279.437
 20  35   -27.158     0.001924      -3277.940
 25  35   -25.293     0.002956      -3280.579
 30  35   -24.760     0.003342      -3282.790
 35  35   -25.105     0.003087      -3285.018
 40  35   -24.056     0.003930      -3286.737
 45  35   -22.439     0.005702      -3288.296
 50  35   -22.080     0.006194      -3290.323
 55  35   -20.756     0.008403      -3292.228
 60  35   -18.813     0.013144      -3292.522
 65  35   -17.046     0.019743      -3292.148
 70  35   -15.753     0.026587      -3291.024
 75  35   -14.470     0.035726      -3293.342
 80  35   -13.332     0.046435      -3290.837
 85  35   -12.424     0.057232      -3292.729
 90  35   -11.489     0.070969      -3291.456
 95  35   -12.267     0.059331      -3291.253
100  35   -12.903     0.051257      -3293.462
105  35   -14.463     0.035785      -3293.614
110  35   -15.796     0.026327      -3296.774
115  35   -16.706     0.021350      -3294.658
120  35   -18.677     0.013562      -3296.730
125  35   -19.926     0.010171      -3297.058
130  35   -22.512     0.005608      -3296.115
135  35   -23.296     0.004682      -3295.435
140  35   -24.048     0.003937      -3295.183
145  35   -25.999     0.002512      -3295.348
150  35   -25.764     0.002652      -3295.036
155  35   -26.218     0.002389      -3295.518
160  35   -27.732     0.001686      -3295.935
165  35   -23.835     0.004135      -3296.506
170  35   -22.659     0.005421      -3296.502
175  35   -21.459     0.007146      -3297.619
180  35   -21.864     0.006510      -3295.629
  0  40   -22.918     0.005108      -3278.156
  5  40   -22.391     0.005766      -3280.107
 10  40   -22.900     0.005128      -3279.013
 15  40   -23.627     0.004338      -3279.437
 20  40   -27.158     0.001924      -3277.940
 25  40   -25.293     0.002956      -3280.579
 30  40   -24.760     0.003342      -3282.790
 35  40   -25.105     0.003087      -3285.018
 40  40   -24.056     0.003930      -3286.737
 45  40   -22.439     0.005702      -3288.296
 50  40   -22.080     0.006194      -3290.323
 55  40   -20.756     0.008403      -3292.228
 60  40   -18.813     0.013144      -3292.522
 65  40   -17.046     0.019743      -3292.148
 70  40   -15.753     0.026587      -3291.024
 75  40   -14.470     0.035726      -3293.342
 80  40   -13.332     0.046435      -3290.837
 85  40   -12.424     0.057232      -3292.729
 90  40   -11.489     0.070969      -3291.456
 95  40   -12.267     0.059331      -3291.253
100  40   -12.903     0.051257      -3293.462
105  40   -14.463     0.035785      -3293.614
110  40   -15.796     0.026327      -3296.774
115  40   -16.706     0.021350      -3294.658
120  40   -18.677     0.013562      -3296.730
125  40   -19.926     0.010171      -3297.058
130  40   -22.512     0.005608      -3296.115
135  40   -23.296     0.004682      -3295.435
140  40   -24.048     0.003937      -3295.183
145  40   -25.999     0.002512      -3295.348
150  40   -25.764     0.002652      -3295.036
155  40   -26.218     0.002389      -3295.518
160  40   -27.732     0.001686      -3295.935
165  40   -23.835     0.004135      -3296.506
170  40   -22.659     0.005421      -3296.502
175  40   -21.459     0.007146      -3297.619
180  40   -21.864     0.006510      -3295.629
  0  45   -22.918     0.005108      -3278.156
  5  45   -22.391     0.005766      -3280.107
 10  45   -22.900     0.005128      -3279.013
 15  45   -23.627     0.004338      -3279.437
 20  45   -27.158     0.001924      -3277.940
 25  45   -25.293     0.002956      -3280.579
 30  45   -24.760     0.003342      -3282.790
 35  45   -25.105     0.003087      -3285.018
 40  45   -24.056     0.003930      -3286.737
 45  45   -22.439     0.005702      -3288.296
 50  45   -22.080     0.006194      -3290.323
 55  45   -20.756     0.008403      -3292.228
 60  45   -18.813     0.013144      -3292.522
 65  45   -17.046     0.019743      -3292.148
 70  45   -15.753     0.026587      -3291.024
 75  45   -14.470     0.035726      -3293.342
 80  45   -13.332     0.046435      -3290.837
 85  45   -12.424     0.057232      -3292.729
 90  45   -11.489     0.070969      -3291.456
 95  45   -12.267     0.059331      -3291.253
100  45   -12.903     0.051257      -3293.462
105  45   -14.463     0.035785      -3293.614
110  45   -15.796     0.026327      -3296.774
115  45   -16.706     0.021350      -3294.658
120  45   -18.677     0.013562      -3296.730
125  45   -19.926     0.010171      -3297.058
130  45   -22.512     0.005608      -3296.115
135  45   -23.296     0.004682      -3295.435
140  45   -24.048     0.003937      -3295.183
145  45   -25.999     0.002512      -3295.348
150  45   -25.764     0.002652      -3295.036
155  45   -26.218     0.002389      -3295.518
160  45   -27.732     0.001686      -3295.935
165  45   -23.835     0.004135      -3296.506
170  45   -22.659     0.005421      -3296.502
175  45   -21.459     0.007146      -3297.619
180  45   -21.864     0.006510      -3295.629
  0  50   -22.918     0.005108      -3278.156
  5  50   -22.391     0.005766      -3280.107
 10  50   -22.900     0.005128      -3279.013
 15  50   -23.627     0.004338      -3279.437
 20  50   -27.158     0.001924      -3277.940
 25  50   -25.293     0.002956      -3280.579
 30  50   -24.760     0.003342      -3282.790
 35  50   -25.105     0.003087      -3285.018
 40  50   -24.056     0.003930      -3286.737
