n : 1.0
freq : 83.33 MHz
SWR : 24.444
 Theta   Phi 	 Gain(dB)   	   Gain   	   Phase(deg)
  0   0   -28.302     0.001479      -3770.859
  5   0   -28.410     0.001442      -3770.873
 10   0   -27.483     0.001785      -3409.606
 15   0   -25.535     0.002796      -3768.498
 20   0   -23.115     0.004880      -3409.256
 25   0   -20.204     0.009540      -3769.696
 30   0   -18.679     0.013554      -3409.038
 35   0   -17.935     0.016089      -3408.364
 40   0   -16.706     0.021351      -3410.216
 45   0   -17.368     0.018330      -3407.830
 50   0   -16.307     0.023407      -3408.454
 55   0   -16.275     0.023579      -3408.951
 60   0   -14.503     0.035460      -3411.378
 65   0   -13.752     0.042153      -3052.213
 70   0   -13.639     0.043263      -3413.367
 75   0   -13.219     0.047657      -3412.018
 80   0   -13.625     0.043400      -3412.200
 85   0   -12.646     0.054375      -3410.851
 90   0   -12.034     0.062602      -3409.533
 95   0   -12.657     0.054242      -3409.308
100   0   -13.120     0.048749      -3769.791
105   0   -13.374     0.045983      -3770.802
110   0   -13.392     0.045798      -3772.312
115   0   -14.050     0.039358      -3772.234
120   0   -13.566     0.043998      -3771.421
125   0   -15.157     0.030497      -3770.640
130   0   -16.560     0.022080      -3770.816
135   0   -16.226     0.023848      -3769.694
140   0   -16.203     0.023973      -3407.201
145   0   -17.605     0.017358      -3408.219
150   0   -18.432     0.014350      -3407.700
155   0   -19.602     0.010960      -3768.228
160   0   -21.554     0.006992      -3769.930
165   0   -23.873     0.004100      -3771.675
170   0   -28.102     0.001548      -3774.024
175   0   -31.875     0.000649      -3413.588
180   0   -28.635     0.001369      -3415.233
  0   5   -28.302     0.001479      -3770.859
  5   5   -28.410     0.001442      -3770.873
 10   5   -27.483     0.001785      -3409.606
 15   5   -25.535     0.002796      -3768.498
 20   5   -23.115     0.004880      -3409.256
 25   5   -20.204     0.009540      -3769.696
 30   5   -18.679     0.013554      -3409.038
 35   5   -17.935     0.016089      -3408.364
 40   5   -16.706     0.021351      -3410.216
 45   5   -17.368     0.018330      -3407.830
 50   5   -16.307     0.023407      -3408.454
 55   5   -16.275     0.023579      -3408.951
 60   5   -14.503     0.035460      -3411.378
 65   5   -13.752     0.042153      -3052.213
 70   5   -13.639     0.043263      -3413.367
 75   5   -13.219     0.047657      -3412.018
 80   5   -13.625     0.043400      -3412.200
 85   5   -12.646     0.054375      -3410.851
 90   5   -12.034     0.062602      -3409.533
 95   5   -12.657     0.054242      -3409.308
100   5   -13.120     0.048749      -3769.791
105   5   -13.374     0.045983      -3770.802
110   5   -13.392     0.045798      -3772.312
115   5   -14.050     0.039358      -3772.234
120   5   -13.566     0.043998      -3771.421
125   5   -15.157     0.030497      -3770.640
130   5   -16.560     0.022080      -3770.816
135   5   -16.226     0.023848      -3769.694
140   5   -16.203     0.023973      -3407.201
145   5   -17.605     0.017358      -3408.219
150   5   -18.432     0.014350      -3407.700
155   5   -19.602     0.010960      -3768.228
160   5   -21.554     0.006992      -3769.930
165   5   -23.873     0.004100      -3771.675
170   5   -28.102     0.001548      -3774.024
175   5   -31.875     0.000649      -3413.588
180   5   -28.635     0.001369      -3415.233
  0  10   -28.302     0.001479      -3770.859
  5  10   -28.410     0.001442      -3770.873
 10  10   -27.483     0.001785      -3409.606
 15  10   -25.535     0.002796      -3768.498
 20  10   -23.115     0.004880      -3409.256
 25  10   -20.204     0.009540      -3769.696
 30  10   -18.679     0.013554      -3409.038
 35  10   -17.935     0.016089      -3408.364
 40  10   -16.706     0.021351      -3410.216
 45  10   -17.368     0.018330      -3407.830
 50  10   -16.307     0.023407      -3408.454
 55  10   -16.275     0.023579      -3408.951
 60  10   -14.503     0.035460      -3411.378
 65  10   -13.752     0.042153      -3052.213
 70  10   -13.639     0.043263      -3413.367
 75  10   -13.219     0.047657      -3412.018
 80  10   -13.625     0.043400      -3412.200
 85  10   -12.646     0.054375      -3410.851
 90  10   -12.034     0.062602      -3409.533
 95  10   -12.657     0.054242      -3409.308
100  10   -13.120     0.048749      -3769.791
105  10   -13.374     0.045983      -3770.802
110  10   -13.392     0.045798      -3772.312
115  10   -14.050     0.039358      -3772.234
120  10   -13.566     0.043998      -3771.421
125  10   -15.157     0.030497      -3770.640
130  10   -16.560     0.022080      -3770.816
135  10   -16.226     0.023848      -3769.694
140  10   -16.203     0.023973      -3407.201
145  10   -17.605     0.017358      -3408.219
150  10   -18.432     0.014350      -3407.700
155  10   -19.602     0.010960      -3768.228
160  10   -21.554     0.006992      -3769.930
165  10   -23.873     0.004100      -3771.675
170  10   -28.102     0.001548      -3774.024
175  10   -31.875     0.000649      -3413.588
180  10   -28.635     0.001369      -3415.233
  0  15   -28.302     0.001479      -3770.859
  5  15   -28.410     0.001442      -3770.873
 10  15   -27.483     0.001785      -3409.606
 15  15   -25.535     0.002796      -3768.498
 20  15   -23.115     0.004880      -3409.256
 25  15   -20.204     0.009540      -3769.696
 30  15   -18.679     0.013554      -3409.038
 35  15   -17.935     0.016089      -3408.364
 40  15   -16.706     0.021351      -3410.216
 45  15   -17.368     0.018330      -3407.830
 50  15   -16.307     0.023407      -3408.454
 55  15   -16.275     0.023579      -3408.951
 60  15   -14.503     0.035460      -3411.378
 65  15   -13.752     0.042153      -3052.213
 70  15   -13.639     0.043263      -3413.367
 75  15   -13.219     0.047657      -3412.018
 80  15   -13.625     0.043400      -3412.200
 85  15   -12.646     0.054375      -3410.851
 90  15   -12.034     0.062602      -3409.533
 95  15   -12.657     0.054242      -3409.308
100  15   -13.120     0.048749      -3769.791
105  15   -13.374     0.045983      -3770.802
110  15   -13.392     0.045798      -3772.312
115  15   -14.050     0.039358      -3772.234
120  15   -13.566     0.043998      -3771.421
125  15   -15.157     0.030497      -3770.640
