#Attenuation model in ice from https://arxiv.org/pdf/1105.2854.pdf, fig 23. Average attenuation length (blue line)
2.76e+2, 2.61e+3
3.25e+2, 2.53e+3
3.76e+2, 2.45e+3
4.32e+2, 2.36e+3
4.93e+2, 2.28e+3
5.58e+2, 2.20e+3
6.24e+2, 2.12e+3
6.92e+2, 2.04e+3
7.64e+2, 1.95e+3
8.38e+2, 1.87e+3
9.11e+2, 1.79e+3
9.84e+2, 1.71e+3
1.06e+3, 1.63e+3
1.13e+3, 1.55e+3
1.20e+3, 1.47e+3
1.27e+3, 1.38e+3
1.33e+3, 1.30e+3
1.40e+3, 1.22e+3
1.46e+3, 1.14e+3
1.51e+3, 1.06e+3
1.56e+3, 9.78e+2
1.61e+3, 8.96e+2
1.66e+3, 8.13e+2
1.71e+3, 7.31e+2
1.75e+3, 6.50e+2
1.78e+3, 5.70e+2
1.82e+3, 4.87e+2
1.86e+3, 4.04e+2
1.89e+3, 3.20e+2
1.92e+3, 2.39e+2
1.96e+3, 1.56e+2
1.99e+3, 7.24e+1
2.02e+3, 7.66e+0
