#Attenuation model in ice from https://arxiv.org/pdf/1105.2854.pdf, fig 23. Lower limit attenuation length
3.28e+2, 2.60e+3
3.91e+2, 2.51e+3
4.55e+2, 2.42e+3
5.15e+2, 2.35e+3
6.01e+2, 2.25e+3
6.94e+2, 2.14e+3
7.71e+2, 2.07e+3
8.46e+2, 1.99e+3
9.46e+2, 1.89e+3
1.03e+3, 1.82e+3
1.11e+3, 1.74e+3
1.18e+3, 1.67e+3
1.26e+3, 1.59e+3
1.36e+3, 1.49e+3
1.45e+3, 1.39e+3
1.55e+3, 1.29e+3
1.63e+3, 1.19e+3
1.71e+3, 1.10e+3
1.79e+3, 9.96e+2
1.87e+3, 8.87e+2
1.92e+3, 8.02e+2
1.98e+3, 7.12e+2
2.03e+3, 6.25e+2
2.07e+3, 5.37e+2
2.12e+3, 4.43e+2
2.16e+3, 3.55e+2
2.20e+3, 2.81e+2
2.25e+3, 1.67e+2
2.29e+3, 8.31e+1
2.33e+3, 5.23e+0
