#Attenuation model in ice from https://arxiv.org/pdf/1105.2854.pdf, fig 23. Upper limit attenuation length
2.60e+2, 2.60e+3
3.13e+2, 2.51e+3
3.70e+2, 2.41e+3
4.42e+2, 2.30e+3
5.10e+2, 2.21e+3
5.85e+2, 2.11e+3
6.70e+2, 2.00e+3
7.55e+2, 1.90e+3
8.34e+2, 1.80e+3
9.21e+2, 1.70e+3
9.98e+2, 1.60e+3
1.08e+3, 1.50e+3
1.16e+3, 1.40e+3
1.24e+3, 1.29e+3
1.31e+3, 1.20e+3
1.37e+3, 1.11e+3
1.43e+3, 1.02e+3
1.47e+3, 9.41e+2
1.52e+3, 8.56e+2
1.57e+3, 7.54e+2
1.60e+3, 6.86e+2
1.64e+3, 5.98e+2
1.68e+3, 4.98e+2
1.72e+3, 3.96e+2
1.76e+3, 2.82e+2
1.80e+3, 1.84e+2
1.84e+3, 8.81e+1
1.87e+3, 5.81e+0
