50,0.32,4.1,-2.3,-2.4,0.1,3.8,-1.9,-2
100,0.65,3.8,-2,-2,0.2,3.5,-1.8,-1.8
200,1.3,3.5,-1.8,-1.9,0.41,3.2,-1.6,-1.7
500,3.2,3.2,-1.7,-1.8,1,2.9,-1.5,-1.5
1000,6.2,3,-1.6,-1.7,2,2.7,-1.4,-1.5
2000,12,2.7,-1.6,-1.6,3.8,2.4,-1.3,-1.4
5000,27,2.3,-1.5,-1.5,8.6,2.1,-1.3,-1.3
10000,47,2,-1.4,-1.4,15,1.8,-1.2,-1.2
20000,77,1.8,-1.3,-1.4,26,1.6,-1.1,-1.1
50000,140,1.5,-1.2,-1.2,49,1.3,-1,-1.1
100000,210,1.4,-1.2,-1.2,75,1.2,-1,-1
200000,310,1.5,-1.1,-1.1,110,1.2,-0.9,-0.9
500000,490,1.6,-1,-1,180,1.3,-0.8,-0.8
1.00E+06,690,1.7,-0.9,-0.9,260,1.4,-0.8,-0.8
2.00E+06,950,1.9,-0.9,-0.9,360,1.6,-0.8,-0.8
5.00E+06,1400,2,-0.9,-0.9,540,1.8,-0.8,-0.8
1.00E+07,1900,2.2,-0.9,-0.9,730,2,-0.8,-0.8
2.00E+07,2600,2.3,-0.9,-1,980,2.2,-0.8,-0.9
5.00E+07,3700,2.5,-0.9,-1.2,1400,2.4,-0.9,-1.1
1.00E+08,4800,2.7,-0.9,-1.5,1900,2.6,-0.9,-1.3
2.00E+08,6200,2.8,-1,-2,2400,2.7,-1,-1.8
5.00E+08,8700,3,-1.1,-3,3400,2.9,-1,-2.6
1.00E+09,11000,3.1,-1.2,-3.9,4400,3,-1.1,-3.4
2.00E+09,14000,3.3,-1.2,-5,5600,3.2,-1.2,-4.4
5.00E+09,19000,3.4,-1.4,-6.8,7600,3.4,-1.3,-6.1
1.00E+10,24000,3.6,-1.5,-8.5,9600,3.5,-1.4,-7.6
2.00E+10,30000,3.7,-1.6,-10.3,12000,3.6,-1.5,-9.3
5.00E+10,39000,3.8,-1.7,-13.1,16000,3.8,-1.7,-11.8
1.00E+11,48000,4,-1.8,-15.2,20000,3.9,-1.8,-13.9
2.00E+11,59000,4.1,-1.9,-17.5,24000,4,-1.9,-16.1
5.e11,75000,4.2,-2.0,-20.3,31000,4.2,-2.0,-18.8
