Electronics gain (Filter,  Preamp,  FOAM) and phase
Total Bin : 257
Freq(MHz)    	    Gain(unitless)    	    Phase(rad)
0, 0, 0
3.90625, 0.000677965, 3.05482
7.8125, 0.00271185, 2.968
11.7188, 0.00610158, 2.88107
15.625, 0.0108468, 2.79398
19.5312, 0.0169468, 2.7067
23.4375, 0.0243997, 2.61916
27.3438, 0.0332023, 2.53133
31.25, 0.0433495, 2.44315
35.1562, 0.0548334, 2.3546
39.0625, 0.0676426, 2.26563
42.9688, 0.0817611, 2.17621
46.875, 0.0971678, 2.08633
50.7812, 0.113835, 1.99595
54.6875, 0.131728, 1.90506
58.5938, 0.150804, 1.81366
62.5, 0.171011, 1.72175
66.4062, 0.192287, 1.62933
70.3125, 0.214559, 1.53643
74.2188, 0.237745, 1.44307
78.125, 0.261752, 1.34929
82.0312, 0.286477, 1.25514
85.9375, 0.311807, 1.16066
89.8438, 0.337621, 1.06592
93.75, 0.363793, 0.970998
97.6562, 0.390191, 0.875959
101.562, 0.41668, 0.780889
105.469, 0.443128, 0.685874
109.375, 0.469403, 0.591
113.281, 0.495378, 0.496357
117.188, 0.520934, 0.402032
121.094, 0.545961, 0.308111
125, 0.570361, 0.214672
128.906, 0.594046, 0.121794
132.812, 0.616944, 0.029544
136.719, 0.638995, -0.0620152
140.625, 0.660151, -0.15283
144.531, 0.680381, -0.242854
148.438, 0.699662, -0.332049
152.344, 0.717986, -0.420387
156.25, 0.735353, -0.507846
160.156, 0.751773, -0.594413
164.062, 0.767264, -0.68008
167.969, 0.781848, -0.764848
171.875, 0.795556, -0.848721
175.781, 0.808419, -0.931712
179.688, 0.820475, -1.01383
183.594, 0.831759, -1.09511
187.5, 0.842313, -1.17555
191.406, 0.852174, -1.2552
195.312, 0.861382, -1.33407
199.219, 0.869976, -1.4122
203.125, 0.877994, -1.4896
207.031, 0.885471, -1.56633
210.938, 0.892444, -1.6424
214.844, 0.898946, -1.71785
218.75, 0.905008, -1.7927
222.656, 0.910661, -1.86701
226.562, 0.915933, -1.94078
230.469, 0.920851, -2.01406
234.375, 0.925439, -2.08687
238.281, 0.929722, -2.15925
242.188, 0.93372, -2.23122
246.094, 0.937455, -2.30282
250, 0.940945, -2.37407
253.906, 0.944207, -2.44499
257.812, 0.947258, -2.51563
261.719, 0.950112, -2.586
265.625, 0.952785, -2.65612
269.531, 0.955288, -2.72603
273.438, 0.957633, -2.79575
277.344, 0.959832, -2.8653
281.25, 0.961895, -2.93471
285.156, 0.963831, -3.004
289.062, 0.965649, -3.0732
292.969, 0.967357, 3.14087
296.875, 0.968962, 3.0718
300.781, 0.97047, 3.00277
304.688, 0.971889, 2.93374
308.594, 0.973224, 2.86469
312.5, 0.974479, 2.79561
316.406, 0.97566, 2.72646
320.312, 0.97677, 2.65723
324.219, 0.977813, 2.5879
328.125, 0.978793, 2.51844
332.031, 0.979712, 2.44883
335.938, 0.980572, 2.37904
339.844, 0.981374, 2.30905
343.75, 0.982121, 2.23884
347.656, 0.982811, 2.16837
351.562, 0.983444, 2.09763
355.469, 0.98402, 2.02658
359.375, 0.984536, 1.95519
363.281, 0.984989, 1.88343
367.188, 0.985375, 1.81128
371.094, 0.985687, 1.73869
375, 0.985917, 1.66563
378.906, 0.986058, 1.59207
382.812, 0.986097, 1.51796
386.719, 0.986019, 1.44327
390.625, 0.985809, 1.36795
394.531, 0.985445, 1.29196
398.438, 0.984904, 1.21525
402.344, 0.984157, 1.13777
406.25, 0.983171, 1.05946
410.156, 0.981906, 0.980287
414.062, 0.980317, 0.900184
417.969, 0.978352, 0.819099
421.875, 0.975952, 0.736978
425.781, 0.973048, 0.653767
429.688, 0.969564, 0.569415
433.594, 0.965416, 0.483873
437.5, 0.96051, 0.397099
441.406, 0.954745, 0.309058
445.312, 0.948014, 0.219724
449.219, 0.940201, 0.129084
453.125, 0.931193, 0.0371419
457.031, 0.920873, -0.0560818
460.938, 0.909134, -0.150544
464.844, 0.895874, -0.246177
468.75, 0.881012, -0.342888
472.656, 0.864487, -0.440554
476.562, 0.846267, -0.539025
480.469, 0.826356, -0.638122
484.375, 0.804794, -0.737641
488.281, 0.781664, -0.837357
492.188, 0.757088, -0.937028
496.094, 0.731227, -1.0364
500, 0.704277, -1.13523
503.906, 0.676459, -1.23325
507.812, 0.64801, -1.33024
511.719, 0.619178, -1.42597
515.625, 0.590205, -1.52024
519.531, 0.561327, -1.61289
523.438, 0.53276, -1.70377
527.344, 0.504698, -1.79277
531.25, 0.477307, -1.87981
535.156, 0.450728, -1.96482
539.062, 0.42507, -2.04778
542.969, 0.400417, -2.12868
546.875, 0.376829, -2.20752
550.781, 0.354341, -2.28432
554.688, 0.332971, -2.35913
558.594, 0.312718, -2.43198
562.5, 0.293572, -2.50293
566.406, 0.275508, -2.57203
570.312, 0.258495, -2.63936
574.219, 0.242495, -2.70496
578.125, 0.227467, -2.76891
582.031, 0.213366, -2.83127
585.938, 0.200147, -2.8921
589.844, 0.187761, -2.95146
593.75, 0.176163, -3.00941
597.656, 0.165308, -3.06602
601.562, 0.15515, -3.12132
605.469, 0.145647, 3.10779
609.375, 0.136757, 3.05492
613.281, 0.128443, 3.00319
617.188, 0.120666, 2.95256
621.094, 0.113391, 2.90298
625, 0.106586, 2.85442
628.906, 0.100218, 2.80684
632.812, 0.0942601, 2.76019
636.719, 0.0886835, 2.71445
640.625, 0.0834629, 2.66958
644.531, 0.0785746, 2.62555
648.438, 0.0739961, 2.58233
652.344, 0.0697067, 2.5399
656.25, 0.0656871, 2.49822
660.156, 0.0619191, 2.45727
664.062, 0.058386, 2.41704
667.969, 0.0550722, 2.37748
671.875, 0.051963, 2.33859
675.781, 0.0490449, 2.30035
679.688, 0.0463054, 2.26273
683.594, 0.0437326, 2.22571
687.5, 0.0413157, 2.18928
691.406, 0.0390445, 2.15342
695.312, 0.0369096, 2.11812
699.219, 0.034902, 2.08335
703.125, 0.0330137, 2.04911
707.031, 0.0312369, 2.01538
710.938, 0.0295645, 1.98215
714.844, 0.02799, 1.9494
718.75, 0.0265071, 1.91713
722.656, 0.0251101, 1.88531
726.562, 0.0237935, 1.85394
730.469, 0.0225524, 1.82301
734.375, 0.021382, 1.7925
738.281, 0.0202781, 1.76241
742.188, 0.0192365, 1.73273
746.094, 0.0182534, 1.70344
750, 0.0173253, 1.67455
753.906, 0.0164487, 1.64603
757.812, 0.0156207, 1.61788
761.719, 0.0148383, 1.5901
765.625, 0.0140988, 1.56267
769.531, 0.0133995, 1.53559
773.438, 0.0127383, 1.50884
777.344, 0.0121127, 1.48243
781.25, 0.0115207, 1.45635
785.156, 0.0109605, 1.43058
789.062, 0.01043, 1.40513
792.969, 0.00992761, 1.37998
796.875, 0.00945171, 1.35514
800.781, 0.00900079, 1.33059
804.688, 0.00857341, 1.30632
808.594, 0.00816825, 1.28234
812.5, 0.00778404, 1.25864
816.406, 0.00741962, 1.23521
820.312, 0.00707388, 1.21204
824.219, 0.00674577, 1.18914
828.125, 0.00643432, 1.16649
832.031, 0.00613861, 1.1441
835.938, 0.00585779, 1.12196
839.844, 0.00559103, 1.10005
843.75, 0.00533756, 1.07839
847.656, 0.00509669, 1.05696
851.562, 0.00486771, 1.03577
855.469, 0.00465, 1.0148
859.375, 0.00444295, 0.99405
863.281, 0.00424599, 0.973522
867.188, 0.0040586, 0.953209
871.094, 0.00388026, 0.933108
875, 0.0037105, 0.913215
878.906, 0.00354888, 0.893527
882.812, 0.00339497, 0.87404
886.719, 0.00324836, 0.85475
890.625, 0.00310869, 0.835656
894.531, 0.0029756, 0.816754
898.438, 0.00284875, 0.79804
902.344, 0.00272782, 0.779511
906.25, 0.00261252, 0.761166
910.156, 0.00250255, 0.743
914.062, 0.00239765, 0.725011
917.969, 0.00229757, 0.707196
921.875, 0.00220206, 0.689553
925.781, 0.00211091, 0.672079
929.688, 0.00202388, 0.654771
933.594, 0.00194079, 0.637628
937.5, 0.00186143, 0.620645
941.406, 0.00178563, 0.603822
945.312, 0.00171321, 0.587156
949.219, 0.00164401, 0.570644
953.125, 0.00157787, 0.554284
957.031, 0.00151464, 0.538074
960.938, 0.00145419, 0.522012
964.844, 0.00139639, 0.506095
968.75, 0.0013411, 0.490322
972.656, 0.00128821, 0.474691
976.562, 0.0012376, 0.459199
980.469, 0.00118918, 0.443845
984.375, 0.00114283, 0.428626
988.281, 0.00109845, 0.413541
992.188, 0.00105597, 0.398589
996.094, 0.00101529, 0.383766
1000, 0.000976321, 0.369072
