Electronics gain (Filter, Preamp, FOAM) and phase
Total Bin : 257
Freq(MHz)    	    Gain(unitless)    	    Phase(rad)
0.000, 3.296, 0.000
3.906, 3.142, 0.000
7.812, 2.995, 0.000
11.719, 2.855, 0.000
15.625, 2.721, -0.000
19.531, 2.594, 0.000
23.437, 2.472, -0.000
27.344, 2.357, -0.000
31.250, 2.246, -0.000
35.156, 2.141, -0.000
39.062, 2.041, -0.000
42.969, 1.945, 0.000
46.875, 1.854, 0.000
50.781, 1.768, 0.000
54.687, 1.685, 0.000
58.594, 1.606, -0.000
62.500, 1.531, 0.000
66.406, 1.459, 0.000
70.312, 1.391, 0.000
74.219, 1.326, -0.000
78.125, 1.264, 0.000
82.031, 1.205, 0.000
85.937, 1.148, -0.000
89.844, 1.094, -0.000
93.750, 1.043, -0.000
97.656, 0.994, -3.142
101.560, 0.957, -1.851
105.470, 0.935, 0.950
109.370, 0.913, 0.904
113.280, 0.892, 0.803
117.190, 0.919, 0.682
121.090, 1.350, -2.580
125.000, 1.982, -2.309
128.910, 2.909, -0.162
132.810, 4.271, 1.603
136.720, 12.508, -0.316
140.620, 40.705, -1.407
144.530, 132.465, -2.063
148.440, 431.023, -2.502
152.340, 827.752, -2.827
156.250, 1118.279, -1.972
160.160, 1510.950, 2.956
164.060, 2041.268, 2.748
167.970, 2647.890, 2.558
171.870, 3164.463, 2.385
175.780, 3782.248, 2.228
179.690, 4520.641, 2.084
183.590, 5339.493, 1.952
187.500, 5325.373, 1.831
191.410, 5310.678, 1.720
195.310, 5296.634, 1.616
199.220, 5282.019, 1.520
203.120, 5355.500, 1.430
207.030, 5452.554, 1.345
210.940, 5551.368, 1.264
214.840, 5651.321, 1.188
218.750, 5696.394, 1.115
222.660, 5691.805, 1.045
226.560, 5687.220, 0.977
230.470, 5682.638, 0.912
234.370, 5674.139, 0.849
238.280, 5653.274, 0.788
242.190, 5633.133, 0.728
246.090, 5612.418, 0.670
250.000, 5591.779, 0.614
253.910, 5581.488, 0.558
257.810, 5571.216, 0.503
261.720, 5560.963, 0.450
265.620, 5550.729, 0.397
269.530, 5557.763, 0.345
273.440, 5571.216, 0.294
277.340, 5584.059, 0.244
281.250, 5597.576, 0.194
285.160, 5608.542, 0.145
289.060, 5618.236, 0.096
292.970, 5627.947, 0.048
296.870, 5637.026, 0.000
300.780, 5645.469, -0.047
304.690, 5647.419, -0.094
308.590, 5650.020, -0.140
312.500, 5652.623, -0.186
316.410, 5655.226, -0.231
320.310, 5627.947, -0.277
324.220, 5598.220, -0.321
328.120, 5568.651, -0.366
332.030, 5539.238, -0.410
335.940, 5516.327, -0.454
339.840, 5496.674, -0.497
343.750, 5476.461, -0.540
347.660, 5456.950, -0.583
351.560, 5440.014, -0.626
355.470, 5428.127, -0.668
359.370, 5415.643, -0.711
363.280, 5403.809, -0.753
367.190, 5390.139, -0.795
371.090, 5368.463, -0.836
375.000, 5346.259, -0.878
378.910, 5324.760, -0.919
382.810, 5303.346, -0.961
386.720, 5313.736, -1.003
390.620, 5330.280, -1.044
394.530, 5346.259, -1.086
398.440, 5362.286, -1.129
402.340, 5355.500, -1.172
406.250, 5333.349, -1.215
410.160, 5311.290, -1.260
414.060, 5289.322, -1.306
417.970, 5248.075, -1.354
421.870, 5168.327, -1.405
425.780, 5089.206, -1.461
429.690, 5011.872, -1.524
433.590, 4531.584, -1.599
437.500, 1197.567, -1.697
441.410, 316.446, -1.845
445.310, 83.628, -2.153
449.220, 22.100, 0.644
453.120, 48.173, 0.560
457.030, 179.453, -0.917
460.940, 668.575, -1.219
464.840, 2490.577, -1.368
468.750, 4673.045, -1.466
472.660, 4802.308, -1.541
476.560, 4934.578, -1.603
480.470, 5070.491, -1.657
484.370, 5174.877, -1.706
488.280, 5183.224, -1.752
492.190, 5190.988, -1.796
496.090, 5198.763, -1.838
500.000, 5206.549, -1.879
503.910, 5205.351, -1.919
507.810, 5204.752, -1.958
511.720, 5203.553, -1.997
515.620, 5202.355, -2.035
519.530, 5196.967, -2.073
523.440, 5189.195, -2.111
527.340, 5181.434, -2.149
531.250, 5173.685, -2.186
535.160, 5161.786, -2.224
539.060, 5144.581, -2.261
542.970, 5127.433, -2.299
546.870, 5110.342, -2.337
550.780, 5088.034, -2.375
554.690, 5045.451, -2.414
558.590, 5003.801, -2.452
562.500, 4961.923, -2.491
566.410, 4920.395, -2.530
570.310, 4904.559, -2.570
574.220, 4891.026, -2.610
578.120, 4876.969, -2.650
582.030, 4863.512, -2.691
585.940, 4840.052, -2.732
589.840, 4812.270, -2.773
593.750, 4784.648, -2.815
597.660, 4757.185, -2.858
601.560, 4738.599, -2.901
605.470, 4733.692, -2.944
609.370, 4728.245, -2.988
613.280, 4723.349, -3.033
617.190, 4717.371, -3.078
621.090, 4704.896, -3.123
625.000, 4692.454, 3.114
628.910, 4680.045, 3.067
632.810, 4667.668, 3.020
636.720, 4673.045, 2.972
640.620, 4681.661, 2.924
644.530, 4689.753, 2.875
648.440, 4698.400, 2.825
652.340, 4682.740, 2.776
656.250, 4651.575, 2.725
660.160, 4620.617, 2.674
664.060, 4589.866, 2.623
667.970, 4564.046, 2.570
671.870, 4548.833, 2.518
675.780, 4533.671, 2.465
679.690, 4518.559, 2.411
683.590, 4504.017, 2.356
687.500, 4500.388, 2.301
691.410, 4496.763, 2.245
695.310, 4493.141, 2.189
699.220, 4489.521, 2.131
703.120, 4478.164, 2.073
707.030, 4465.293, 2.014
710.940, 4452.460, 1.954
714.840, 4439.663, 1.892
718.750, 4415.704, 1.830
722.660, 4381.774, 1.766
726.560, 4348.105, 1.700
730.470, 4314.694, 1.633
734.370, 4292.892, 1.565
738.280, 4304.275, 1.494
742.190, 4315.191, 1.421
746.090, 4326.134, 1.346
750.000, 4337.106, 1.269
753.910, 4286.966, 1.189
757.810, 4237.405, 1.106
761.720, 4188.418, 1.020
765.620, 4139.520, 0.930
769.530, 4089.781, 0.837
773.440, 4039.708, 0.741
777.340, 3989.790, 0.640
781.250, 3940.942, 0.535
785.160, 3897.176, 0.424
789.060, 3859.224, 0.308
792.970, 3821.202, 0.186
796.870, 3783.990, 0.056
800.780, 3741.106, -0.084
804.690, 3675.361, -0.236
808.590, 3610.771, -0.402
812.500, 3547.317, -0.587
816.410, 3485.379, -0.793
820.310, 3382.984, -1.022
824.220, 3280.953, -1.270
828.120, 3181.632, -1.527
832.030, 3085.674, -1.781
835.940, 2662.257, -2.017
839.840, 2164.213, -2.227
843.750, 1759.341, -2.409
847.660, 1430.211, -2.565
851.560, 1086.301, -2.697
855.470, 743.618, -2.811
859.370, 508.979, -2.908
863.280, 348.377, -2.991
867.190, 238.342, -3.061
871.090, 162.443, -3.119
875.000, 110.726, 3.120
878.910, 75.474, 3.092
882.810, 51.446, 3.086
886.720, 32.430, 3.121
890.620, 20.188, -3.036
894.530, 12.569, -2.645
898.440, 7.824, -1.769
902.340, 5.553, -1.173
906.250, 4.309, -0.970
910.160, 3.343, -0.892
914.060, 2.594, -0.860
917.970, 2.210, -0.848
921.870, 2.274, -0.846
925.780, 2.341, -0.849
929.690, 2.410, -0.853
933.590, 2.462, -0.857
937.500, 2.246, -0.860
941.410, 2.050, -0.858
945.310, 1.870, -0.848
949.220, 1.707, -0.828
953.120, 1.505, -0.785
957.030, 1.316, -0.700
960.940, 1.150, -0.510
964.840, 1.006, -0.013
968.750, 0.878, -2.285
972.660, 0.765, -1.773
976.560, 0.667, -1.574
980.470, 0.581, -1.484
984.370, 0.505, -1.439
988.280, 0.435, -1.415
992.190, 0.375, -1.402
996.090, 0.323, -1.397
1000.000, 0.278, 3.142
