Frequency,Gain(Ch.0),Phase(Ch.0),Gain(Ch.1),Phase(Ch.1),Gain(Ch.2),Phase(Ch.2),Gain(Ch.3),Phase(Ch.3),Gain(Ch.4),Phase(Ch.4),Gain(Ch.5),Phase(Ch.5),Gain(Ch.6),Phase(Ch.6),Gain(Ch.7),Phase(Ch.7),Gain(Ch.8),Phase(Ch.8),Gain(Ch.9),Phase(Ch.9),Gain(Ch.10),Phase(Ch.10),Gain(Ch.11),Phase(Ch.11),Gain(Ch.12),Phase(Ch.12),Gain(Ch.13),Phase(Ch.13),Gain(Ch.14),Phase(Ch.14),Gain(Ch.15),Phase(Ch.15)
0.000000,1.30547e-11,0,1.16584e-10,0,2.59118e-12,0,9.90306e-11,0,4.17434e-12,0,2.9856e-11,0,3.59479e-11,0,1.04553e-10,0,1.78766e-10,0,3.55001e-11,0,2.15032e-12,0,1.4883e-11,0,2.20619e-11,0,2.99835e-11,0,5.41735e-11,0,1.2307e-10,0
0.859107,1.57188e-11,0,1.40128e-10,0,3.09747e-12,0,1.16678e-10,0,4.98504e-12,0,3.5777e-11,0,4.30714e-11,0,1.24327e-10,0,2.14377e-10,0,4.26206e-11,0,2.53505e-12,0,1.80306e-11,0,2.64612e-11,0,3.59057e-11,0,6.48009e-11,0,1.47625e-10,0
1.718213,1.88371e-11,0,1.67577e-10,0,3.67518e-12,0,1.35304e-10,0,5.90583e-12,0,4.26356e-11,0,5.1244e-11,0,1.4614e-10,0,2.55875e-10,0,5.09162e-11,0,2.93864e-12,0,2.18301e-11,0,3.1605e-11,0,4.27392e-11,0,7.69874e-11,0,1.76329e-10,0
2.577320,2.24442e-11,0,1.9962e-10,0,4.38596e-12,0,1.61629e-10,0,7.04212e-12,0,5.08112e-11,0,6.10596e-11,0,1.74373e-10,0,3.04786e-10,0,6.066e-11,0,3.51461e-12,0,2.59897e-11,0,3.76614e-11,0,5.0942e-11,0,9.17372e-11,0,2.10044e-10,0
3.436426,2.65617e-11,0,2.36776e-10,0,5.25535e-12,0,1.97897e-10,0,8.43601e-12,0,6.04988e-11,0,7.2764e-11,0,2.10459e-10,0,3.62273e-10,0,7.20252e-11,0,4.31274e-12,0,3.04467e-11,0,4.47449e-11,0,6.0719e-11,0,1.09506e-10,0,2.49476e-10,0
4.295533,3.14445e-11,0,2.80246e-10,0,6.2605e-12,0,2.38109e-10,0,1.00484e-11,0,7.18645e-11,0,8.63855e-11,0,2.51453e-10,0,4.30045e-10,0,8.54441e-11,0,5.19282e-12,0,3.5867e-11,0,5.31177e-11,0,7.21442e-11,0,1.30177e-10,0,2.96071e-10,0
5.154639,3.7815e-11,0,3.36434e-10,0,7.46538e-12,0,2.79091e-10,0,1.19713e-11,0,8.59667e-11,0,1.03316e-10,0,2.97903e-10,0,5.14564e-10,0,1.02394e-10,0,6.08693e-12,0,4.34692e-11,0,6.36101e-11,0,8.62309e-11,0,1.55373e-10,0,3.54506e-10,0
6.013746,4.52656e-11,0,4.02132e-10,0,8.85919e-12,0,3.2405e-10,0,1.41826e-11,0,1.0236e-10,0,1.22912e-10,0,3.5036e-10,0,6.14083e-10,0,1.22265e-10,0,7.06878e-12,0,5.2559e-11,0,7.59387e-11,0,1.02611e-10,0,1.84561e-10,0,4.23039e-10,0
6.872852,5.3948e-11,0,4.79032e-10,0,1.05941e-11,0,3.89355e-10,0,1.69433e-11,0,1.22125e-10,0,1.466e-10,0,4.19397e-10,0,7.31938e-10,0,1.45752e-10,0,8.50821e-12,0,6.24701e-11,0,9.05393e-11,0,1.22445e-10,0,2.20192e-10,0,5.04365e-10,0
7.731959,6.38169e-11,0,5.68353e-10,0,1.26899e-11,0,4.76911e-10,0,2.02973e-11,0,1.45402e-10,0,1.74626e-10,0,5.06302e-10,0,8.70179e-10,0,1.73027e-10,0,1.04407e-11,0,7.31413e-11,0,1.0758e-10,0,1.45938e-10,0,2.62882e-10,0,5.98933e-10,0
8.591065,7.57538e-11,0,6.74348e-10,0,1.51304e-11,0,5.72257e-10,0,2.41998e-11,0,1.72987e-10,0,2.07646e-10,0,6.04609e-10,0,1.03448e-09,0,2.05644e-10,0,1.25416e-11,0,8.6538e-11,0,1.27929e-10,0,1.73652e-10,0,3.12847e-10,0,7.12088e-10,0
9.450172,9.11421e-11,0,8.0936e-10,0,1.80267e-11,0,6.68448e-10,0,2.87941e-11,0,2.06858e-10,0,2.48162e-10,0,7.14943e-10,0,1.23727e-09,0,2.46481e-10,0,1.46432e-11,0,1.0498e-10,0,1.53171e-10,0,2.07474e-10,0,3.73117e-10,0,8.52481e-10,0
10.309278,1.08935e-10,0,9.66596e-10,0,2.13949e-11,0,7.77637e-10,0,3.411e-11,0,2.46139e-10,0,2.95117e-10,0,8.41282e-10,0,1.47521e-09,0,2.93971e-10,0,1.70437e-11,0,1.26696e-10,0,1.82695e-10,0,2.46693e-10,0,4.42829e-10,0,1.01663e-09,0
11.168385,1.2985e-10,0,1.15127e-09,0,2.56386e-11,0,9.39955e-10,0,4.08267e-11,0,2.94103e-10,0,3.52447e-10,0,1.01034e-09,0,1.76064e-09,0,3.50765e-10,0,2.06385e-11,0,1.50335e-10,0,2.18001e-10,0,2.94818e-10,0,5.2966e-10,0,1.21293e-09,0
12.027491,1.53548e-10,0,1.36622e-09,0,3.07059e-11,0,1.1505e-09,0,4.89099e-11,0,3.50067e-10,0,4.19762e-10,0,1.2192e-09,0,2.09311e-09,0,4.16386e-10,0,2.53158e-11,0,1.76081e-10,0,2.59051e-10,0,3.51314e-10,0,6.31881e-10,0,1.44058e-09,0
12.886598,1.82808e-10,0,1.62595e-09,0,3.66343e-11,0,1.37636e-09,0,5.8352e-11,0,4.16968e-10,0,4.99794e-10,0,1.45543e-09,0,2.49211e-09,0,4.95725e-10,0,3.03107e-11,0,2.09114e-10,0,3.08574e-10,0,4.18632e-10,0,7.52967e-10,0,1.71541e-09,0
13.745704,2.20002e-10,0,1.95062e-09,0,4.36165e-11,0,1.6035e-09,0,6.9376e-11,0,4.98558e-10,0,5.96997e-10,0,1.71827e-09,0,2.97947e-09,0,5.94115e-10,0,3.52964e-11,0,2.54017e-10,0,3.69508e-10,0,4.99961e-10,0,8.97522e-10,0,2.05407e-09,0
14.604811,2.62439e-10,0,2.32537e-09,0,5.17258e-11,0,1.8696e-09,0,8.20908e-11,0,5.92793e-10,0,7.09228e-10,0,2.02313e-09,0,3.54797e-09,0,7.07275e-10,0,4.11615e-11,0,3.05706e-10,0,4.40014e-10,0,5.93717e-10,0,1.06382e-09,0,2.44611e-09,0
15.463918,3.13158e-10,0,2.77433e-09,0,6.21749e-11,0,2.27315e-09,0,9.85572e-11,0,7.09471e-10,0,8.48947e-10,0,2.43882e-09,0,4.24158e-09,0,8.4557e-10,0,5.01777e-11,0,3.62468e-10,0,5.2574e-10,0,7.10956e-10,0,1.27566e-09,0,2.92172e-09,0
16.323024,3.70301e-10,0,3.29017e-09,0,7.44414e-11,0,2.77957e-09,0,1.18023e-10,0,8.44111e-10,0,1.01052e-09,0,2.94118e-09,0,5.04364e-09,0,1.00364e-09,0,6.14702e-11,0,4.24549e-10,0,6.24786e-10,0,8.47029e-10,0,1.52118e-09,0,3.47113e-09,0
17.182131,4.41876e-10,0,3.92333e-09,0,8.88562e-11,0,3.31328e-09,0,1.40898e-10,0,1.00704e-09,0,1.20477e-09,0,3.50869e-09,0,6.01198e-09,0,1.19718e-09,0,7.33378e-11,0,5.06455e-10,0,7.45416e-10,0,1.01078e-09,0,1.81397e-09,0,4.1396e-09,0
18.041237,5.31832e-10,0,4.70732e-09,0,1.05751e-10,0,3.85417e-09,0,1.67448e-10,0,1.20358e-09,0,1.43872e-09,0,4.1377e-09,0,7.18934e-09,0,1.43439e-09,0,8.52508e-11,0,6.15702e-10,0,8.92777e-10,0,1.20679e-09,0,2.16237e-09,0,4.95747e-09,0
