Frequency,Gain(Ch.0),Phase(Ch.0),Gain(Ch.1),Phase(Ch.1),Gain(Ch.2),Phase(Ch.2),Gain(Ch.3),Phase(Ch.3),Gain(Ch.4),Phase(Ch.4),Gain(Ch.5),Phase(Ch.5),Gain(Ch.6),Phase(Ch.6),Gain(Ch.7),Phase(Ch.7),Gain(Ch.8),Phase(Ch.8),Gain(Ch.9),Phase(Ch.9),Gain(Ch.10),Phase(Ch.10),Gain(Ch.11),Phase(Ch.11),Gain(Ch.12),Phase(Ch.12),Gain(Ch.13),Phase(Ch.13),Gain(Ch.14),Phase(Ch.14),Gain(Ch.15),Phase(Ch.15)
0.000000,1.64217e-19,3.142,1.88315e-19,3.142,1.76764e-19,3.142,1.95374e-19,3.142,2.95559e-19,3.142,1.47475e-12,3.142,1.46207e-19,3.142,1.56911e-19,3.142,2.12691e-19,3.142,1.59809e-19,3.142,3.7017e-12,3.142,1.64899e-12,3.142,2.43753e-12,3.142,1.36957e-12,3.142,1.16615e-12,3.142,2.34763e-12,3.142
1.956947,4.33209e-19,1.84895,6.16291e-19,1.84895,2.85607e-19,1.84895,4.66261e-19,1.84895,8.2017e-19,1.84895,4.23849e-12,1.84895,2.48651e-19,1.84895,3.42458e-19,1.84895,1.90704e-19,1.84895,7.02413e-19,1.84895,2.3068e-12,1.84895,1.60414e-12,1.84895,2.04827e-12,1.84895,2.54761e-12,1.84895,3.85945e-12,1.84895,2.14782e-12,1.84895
3.913894,1.35934e-18,2.16678,1.3138e-18,2.16678,8.17011e-19,2.16678,1.89702e-19,2.16678,4.1961e-19,2.16678,2.69938e-11,2.16678,1.09e-18,2.16678,1.26392e-19,2.16678,5.72384e-19,2.16678,2.00468e-18,2.16678,1.09278e-11,2.16678,3.45384e-12,2.16678,9.7337e-12,2.16678,1.93602e-11,2.16678,2.35899e-11,2.16678,6.52293e-12,2.16678
5.870841,8.64639e-20,4.07867,8.37648e-20,4.07867,8.84927e-20,4.07867,1.04416e-19,4.07867,8.64964e-20,4.07867,1.07559e-12,4.07867,8.64521e-20,4.07867,9.03784e-20,4.07867,1.07112e-19,4.07867,9.59169e-20,4.07867,9.93087e-13,4.07867,9.29142e-13,4.07867,9.28505e-13,4.07867,8.92289e-13,4.07867,9.57398e-13,4.07867,5.69551e-12,4.07867
7.827789,6.55284e-18,6.14181,4.52001e-18,6.14181,8.45479e-18,6.14181,4.17577e-19,6.14181,3.83637e-19,6.14181,8.68766e-11,6.14181,1.05545e-17,6.14181,2.71422e-19,6.14181,3.66242e-18,6.14181,4.92671e-19,6.14181,8.94762e-11,6.14181,3.55458e-11,6.14181,4.3573e-11,6.14181,1.18e-10,6.14181,2.177e-11,6.14181,1.07997e-11,6.14181
9.784736,5.6979e-18,6.24679,3.18939e-18,6.24679,9.24732e-18,6.24679,6.37798e-19,6.24679,6.49973e-19,6.24679,3.75122e-11,6.24679,1.52764e-17,6.24679,5.56945e-19,6.24679,2.56164e-17,6.24679,8.62751e-19,6.24679,2.4735e-10,6.24679,5.34795e-11,6.24679,2.71928e-11,6.24679,1.34301e-10,6.24679,1.2611e-11,6.24679,3.11107e-11,6.24679
11.741683,9.41619e-19,4.49065,9.05853e-19,4.49065,1.09039e-18,4.49065,1.15495e-18,4.49065,9.40925e-19,4.49065,3.36381e-10,4.49065,9.36476e-19,4.49065,9.37979e-19,4.49065,1.0735e-18,4.49065,1.06043e-18,4.49065,1.08425e-11,4.49065,9.9065e-12,4.49065,1.00159e-11,4.49065,9.56031e-12,4.49065,1.10111e-11,4.49065,4.96976e-11,4.49065
13.698630,5.70113e-18,5.22091,5.48613e-18,5.22091,3.15743e-17,5.22091,2.29694e-18,5.22091,2.95853e-18,5.22091,1.48301e-10,5.22091,9.48552e-18,5.22091,2.41084e-18,5.22091,9.77004e-18,5.22091,3.47595e-18,5.22091,5.1796e-10,5.22091,1.35276e-10,5.22091,6.29114e-11,5.22091,9.21005e-11,5.22091,4.13734e-11,5.22091,7.95202e-11,5.22091
15.655577,1.17143e-17,5.10785,1.10447e-17,5.10785,1.73934e-17,5.10785,5.36944e-18,5.10785,5.75754e-18,5.10785,3.00366e-10,5.10785,1.04824e-17,5.10785,5.03566e-18,5.10785,1.81916e-17,5.10785,7.18861e-18,5.10785,1.82479e-10,5.10785,1.64196e-10,5.10785,1.19516e-10,5.10785,1.10254e-10,5.10785,8.81008e-11,5.10785,1.80495e-10,5.10785
17.612524,1.07565e-17,4.21092,9.80092e-18,4.21092,1.01487e-17,4.21092,9.5265e-18,4.21092,1.05306e-17,4.21092,1.09099e-10,4.21092,9.94361e-18,4.21092,9.76709e-18,4.21092,1.168e-17,4.21092,1.14852e-17,4.21092,1.23219e-10,4.21092,1.10012e-10,4.21092,1.18612e-10,4.21092,1.09296e-10,4.21092,2.15527e-10,4.21092,4.11849e-10,4.21092
19.569472,4.46247e-17,3.91237,4.05803e-17,3.91237,4.90995e-17,3.91237,2.53459e-17,3.91237,2.61219e-17,3.91237,1.05058e-09,3.91237,4.61435e-17,3.91237,2.38469e-17,3.91237,7.23363e-17,3.91237,3.24863e-17,3.91237,7.81205e-10,3.91237,6.53501e-10,3.91237,5.18649e-10,3.91237,4.55698e-10,3.91237,3.69571e-10,3.91237,1.51199e-09,3.91237
21.526419,8.3158e-17,3.79803,9.07432e-17,3.79803,1.07912e-16,3.79803,5.38816e-17,3.79803,6.82176e-17,3.79803,2.04545e-09,3.79803,8.88605e-17,3.79803,5.02989e-17,3.79803,1.54955e-16,3.79803,6.92747e-17,3.79803,1.69774e-09,3.79803,1.37103e-09,3.79803,1.66342e-09,3.79803,1.73999e-09,3.79803,1.75929e-09,3.79803,2.0253e-09,3.79803
23.483366,1.05224e-16,3.85353,1.09859e-16,3.85353,1.09236e-16,3.85353,1.06692e-16,3.85353,1.12958e-16,3.85353,1.08507e-09,3.85353,1.06577e-16,3.85353,1.04175e-16,3.85353,1.39572e-16,3.85353,1.25957e-16,3.85353,1.69451e-09,3.85353,1.56276e-09,3.85353,2.0143e-09,3.85353,3.15932e-09,3.85353,2.85839e-09,3.85353,4.10209e-09,3.85353
25.440313,3.9582e-16,3.91166,3.83751e-16,3.91166,4.73868e-16,3.91166,2.58467e-16,3.91166,2.64979e-16,3.91166,6.63412e-09,3.91166,3.87857e-16,3.91166,2.45361e-16,3.91166,5.6896e-16,3.91166,3.27511e-16,3.91166,7.87762e-09,3.91166,6.01779e-09,3.91166,5.71557e-09,3.91166,5.42575e-09,3.91166,4.50085e-09,3.91166,1.42706e-08,3.91166
27.397260,8.17673e-16,3.78764,7.64324e-16,3.78764,8.82428e-16,3.78764,5.70364e-16,3.78764,5.74674e-16,3.78764,1.32608e-08,3.78764,8.42105e-16,3.78764,5.26851e-16,3.78764,1.24389e-15,3.78764,7.08774e-16,3.78764,1.88342e-08,3.78764,1.43284e-08,3.78764,1.34488e-08,3.78764,1.3689e-08,3.78764,1.11596e-08,3.78764,1.67688e-08,3.78764
29.354207,1.15181e-15,3.50088,1.37533e-15,3.50088,1.17231e-15,3.50088,1.17049e-15,3.50088,1.1582e-15,3.50088,1.15707e-08,3.50088,1.14524e-15,3.50088,1.11654e-15,3.50088,1.84514e-15,3.50088,1.38664e-15,3.50088,4.58057e-08,3.50088,2.01366e-08,3.50088,1.71624e-08,3.50088,1.96193e-08,3.50088,3.24412e-08,3.50088,3.98245e-08,3.50088
31.311155,3.57968e-15,3.25096,3.49605e-15,3.25096,4.19383e-15,3.25096,2.87107e-15,3.25096,2.77952e-15,3.25096,5.84448e-08,3.25096,3.68421e-15,3.25096,2.56252e-15,3.25096,5.42713e-15,3.25096,3.42426e-15,3.25096,8.76219e-08,3.25096,7.1189e-08,3.25096,6.88103e-08,3.25096,7.1995e-08,3.25096,5.12142e-08,3.25096,1.10978e-07,3.25096
