Frequency,Gain(Ch.0),Phase(Ch.0),Gain(Ch.1),Phase(Ch.1),Gain(Ch.2),Phase(Ch.2),Gain(Ch.3),Phase(Ch.3),Gain(Ch.4),Phase(Ch.4),Gain(Ch.5),Phase(Ch.5),Gain(Ch.6),Phase(Ch.6),Gain(Ch.7),Phase(Ch.7),Gain(Ch.8),Phase(Ch.8),Gain(Ch.9),Phase(Ch.9),Gain(Ch.10),Phase(Ch.10),Gain(Ch.11),Phase(Ch.11),Gain(Ch.12),Phase(Ch.12),Gain(Ch.13),Phase(Ch.13),Gain(Ch.14),Phase(Ch.14),Gain(Ch.15),Phase(Ch.15)
0.000000,64.777,3.142,64.777,3.142,64.777,3.142,64.777,3.142,64.777,3.142,64.777,3.142,64.777,3.142,64.777,3.142,64.777,3.142,64.777,3.142,64.777,3.142,64.777,3.142,64.777,3.142,64.777,3.142,64.777,3.142,64.777,3.142
2.930000,38.332,1.206,38.332,1.206,38.332,1.206,38.332,1.206,38.332,1.206,38.332,1.206,38.332,1.206,38.332,1.206,38.332,1.206,38.332,1.206,38.332,1.206,38.332,1.206,38.332,1.206,38.332,1.206,38.332,1.206,38.332,1.206
5.859000,11.455,-2.217,11.455,-2.217,11.455,-2.217,11.455,-2.217,11.455,-2.217,11.455,-2.217,11.455,-2.217,11.455,-2.217,11.455,-2.217,11.455,-2.217,11.455,-2.217,11.455,-2.217,11.455,-2.217,11.455,-2.217,11.455,-2.217,11.455,-2.217
8.789000,12.432,0.872,12.432,0.872,12.432,0.872,12.432,0.872,12.432,0.872,12.432,0.872,12.432,0.872,12.432,0.872,12.432,0.872,12.432,0.872,12.432,0.872,12.432,0.872,12.432,0.872,12.432,0.872,12.432,0.872,12.432,0.872
11.719000,11.804,-1.801,11.804,-1.801,11.804,-1.801,11.804,-1.801,11.804,-1.801,11.804,-1.801,11.804,-1.801,11.804,-1.801,11.804,-1.801,11.804,-1.801,11.804,-1.801,11.804,-1.801,11.804,-1.801,11.804,-1.801,11.804,-1.801,11.804,-1.801
14.648000,12.478,-0.708,12.478,-0.708,12.478,-0.708,12.478,-0.708,12.478,-0.708,12.478,-0.708,12.478,-0.708,12.478,-0.708,12.478,-0.708,12.478,-0.708,12.478,-0.708,12.478,-0.708,12.478,-0.708,12.478,-0.708,12.478,-0.708,12.478,-0.708
17.578000,30.849,-2.067,30.849,-2.067,30.849,-2.067,30.849,-2.067,30.849,-2.067,30.849,-2.067,30.849,-2.067,30.849,-2.067,30.849,-2.067,30.849,-2.067,30.849,-2.067,30.849,-2.067,30.849,-2.067,30.849,-2.067,30.849,-2.067,30.849,-2.067
20.508000,15.047,-2.514,15.047,-2.514,15.047,-2.514,15.047,-2.514,15.047,-2.514,15.047,-2.514,15.047,-2.514,15.047,-2.514,15.047,-2.514,15.047,-2.514,15.047,-2.514,15.047,-2.514,15.047,-2.514,15.047,-2.514,15.047,-2.514,15.047,-2.514
23.438000,24.924,-2.431,24.924,-2.431,24.924,-2.431,24.924,-2.431,24.924,-2.431,24.924,-2.431,24.924,-2.431,24.924,-2.431,24.924,-2.431,24.924,-2.431,24.924,-2.431,24.924,-2.431,24.924,-2.431,24.924,-2.431,24.924,-2.431,24.924,-2.431
26.367000,21.454,-2.344,21.454,-2.344,21.454,-2.344,21.454,-2.344,21.454,-2.344,21.454,-2.344,21.454,-2.344,21.454,-2.344,21.454,-2.344,21.454,-2.344,21.454,-2.344,21.454,-2.344,21.454,-2.344,21.454,-2.344,21.454,-2.344,21.454,-2.344
29.297000,40.19,-2.775,40.19,-2.775,40.19,-2.775,40.19,-2.775,40.19,-2.775,40.19,-2.775,40.19,-2.775,40.19,-2.775,40.19,-2.775,40.19,-2.775,40.19,-2.775,40.19,-2.775,40.19,-2.775,40.19,-2.775,40.19,-2.775,40.19,-2.775
32.227000,27.521,3.134,27.521,3.134,27.521,3.134,27.521,3.134,27.521,3.134,27.521,3.134,27.521,3.134,27.521,3.134,27.521,3.134,27.521,3.134,27.521,3.134,27.521,3.134,27.521,3.134,27.521,3.134,27.521,3.134,27.521,3.134
35.156000,40.058,2.89,40.058,2.89,40.058,2.89,40.058,2.89,40.058,2.89,40.058,2.89,40.058,2.89,40.058,2.89,40.058,2.89,40.058,2.89,40.058,2.89,40.058,2.89,40.058,2.89,40.058,2.89,40.058,2.89,40.058,2.89
38.086000,13.899,1.896,13.899,1.896,13.899,1.896,13.899,1.896,13.899,1.896,13.899,1.896,13.899,1.896,13.899,1.896,13.899,1.896,13.899,1.896,13.899,1.896,13.899,1.896,13.899,1.896,13.899,1.896,13.899,1.896,13.899,1.896
41.016000,31.086,-3.034,31.086,-3.034,31.086,-3.034,31.086,-3.034,31.086,-3.034,31.086,-3.034,31.086,-3.034,31.086,-3.034,31.086,-3.034,31.086,-3.034,31.086,-3.034,31.086,-3.034,31.086,-3.034,31.086,-3.034,31.086,-3.034,31.086,-3.034
43.945000,19.768,2.131,19.768,2.131,19.768,2.131,19.768,2.131,19.768,2.131,19.768,2.131,19.768,2.131,19.768,2.131,19.768,2.131,19.768,2.131,19.768,2.131,19.768,2.131,19.768,2.131,19.768,2.131,19.768,2.131,19.768,2.131
46.875000,25.589,3.009,25.589,3.009,25.589,3.009,25.589,3.009,25.589,3.009,25.589,3.009,25.589,3.009,25.589,3.009,25.589,3.009,25.589,3.009,25.589,3.009,25.589,3.009,25.589,3.009,25.589,3.009,25.589,3.009,25.589,3.009
49.805000,18.247,1.483,18.247,1.483,18.247,1.483,18.247,1.483,18.247,1.483,18.247,1.483,18.247,1.483,18.247,1.483,18.247,1.483,18.247,1.483,18.247,1.483,18.247,1.483,18.247,1.483,18.247,1.483,18.247,1.483,18.247,1.483
52.734000,23.364,-2.608,23.364,-2.608,23.364,-2.608,23.364,-2.608,23.364,-2.608,23.364,-2.608,23.364,-2.608,23.364,-2.608,23.364,-2.608,23.364,-2.608,23.364,-2.608,23.364,-2.608,23.364,-2.608,23.364,-2.608,23.364,-2.608,23.364,-2.608
55.664000,18.549,2.175,18.549,2.175,18.549,2.175,18.549,2.175,18.549,2.175,18.549,2.175,18.549,2.175,18.549,2.175,18.549,2.175,18.549,2.175,18.549,2.175,18.549,2.175,18.549,2.175,18.549,2.175,18.549,2.175,18.549,2.175
58.594000,24.485,-2.819,24.485,-2.819,24.485,-2.819,24.485,-2.819,24.485,-2.819,24.485,-2.819,24.485,-2.819,24.485,-2.819,24.485,-2.819,24.485,-2.819,24.485,-2.819,24.485,-2.819,24.485,-2.819,24.485,-2.819,24.485,-2.819,24.485,-2.819
61.523000,29.209,2.094,29.209,2.094,29.209,2.094,29.209,2.094,29.209,2.094,29.209,2.094,29.209,2.094,29.209,2.094,29.209,2.094,29.209,2.094,29.209,2.094,29.209,2.094,29.209,2.094,29.209,2.094,29.209,2.094,29.209,2.094
64.453000,6.339,2.982,6.339,2.982,6.339,2.982,6.339,2.982,6.339,2.982,6.339,2.982,6.339,2.982,6.339,2.982,6.339,2.982,6.339,2.982,6.339,2.982,6.339,2.982,6.339,2.982,6.339,2.982,6.339,2.982,6.339,2.982
67.383000,9.598,2.172,9.598,2.172,9.598,2.172,9.598,2.172,9.598,2.172,9.598,2.172,9.598,2.172,9.598,2.172,9.598,2.172,9.598,2.172,9.598,2.172,9.598,2.172,9.598,2.172,9.598,2.172,9.598,2.172,9.598,2.172
70.312000,19.844,-2.886,19.844,-2.886,19.844,-2.886,19.844,-2.886,19.844,-2.886,19.844,-2.886,19.844,-2.886,19.844,-2.886,19.844,-2.886,19.844,-2.886,19.844,-2.886,19.844,-2.886,19.844,-2.886,19.844,-2.886,19.844,-2.886,19.844,-2.886
73.242000,17.125,1.971,17.125,1.971,17.125,1.971,17.125,1.971,17.125,1.971,17.125,1.971,17.125,1.971,17.125,1.971,17.125,1.971,17.125,1.971,17.125,1.971,17.125,1.971,17.125,1.971,17.125,1.971,17.125,1.971,17.125,1.971
76.172000,16.804,-2.708,16.804,-2.708,16.804,-2.708,16.804,-2.708,16.804,-2.708,16.804,-2.708,16.804,-2.708,16.804,-2.708,16.804,-2.708,16.804,-2.708,16.804,-2.708,16.804,-2.708,16.804,-2.708,16.804,-2.708,16.804,-2.708,16.804,-2.708
79.102000,15.394,2.13,15.394,2.13,15.394,2.13,15.394,2.13,15.394,2.13,15.394,2.13,15.394,2.13,15.394,2.13,15.394,2.13,15.394,2.13,15.394,2.13,15.394,2.13,15.394,2.13,15.394,2.13,15.394,2.13,15.394,2.13
82.031000,21.793,-2.682,21.793,-2.682,21.793,-2.682,21.793,-2.682,21.793,-2.682,21.793,-2.682,21.793,-2.682,21.793,-2.682,21.793,-2.682,21.793,-2.682,21.793,-2.682,21.793,-2.682,21.793,-2.682,21.793,-2.682,21.793,-2.682,21.793,-2.682
84.961000,23.047,2.364,23.047,2.364,23.047,2.364,23.047,2.364,23.047,2.364,23.047,2.364,23.047,2.364,23.047,2.364,23.047,2.364,23.047,2.364,23.047,2.364,23.047,2.364,23.047,2.364,23.047,2.364,23.047,2.364,23.047,2.364
87.891000,25.572,2.999,25.572,2.999,25.572,2.999,25.572,2.999,25.572,2.999,25.572,2.999,25.572,2.999,25.572,2.999,25.572,2.999,25.572,2.999,25.572,2.999,25.572,2.999,25.572,2.999,25.572,2.999,25.572,2.999,25.572,2.999
90.820000,31.034,1.641,31.034,1.641,31.034,1.641,31.034,1.641,31.034,1.641,31.034,1.641,31.034,1.641,31.034,1.641,31.034,1.641,31.034,1.641,31.034,1.641,31.034,1.641,31.034,1.641,31.034,1.641,31.034,1.641,31.034,1.641
93.750000,16.265,-2.884,16.265,-2.884,16.265,-2.884,16.265,-2.884,16.265,-2.884,16.265,-2.884,16.265,-2.884,16.265,-2.884,16.265,-2.884,16.265,-2.884,16.265,-2.884,16.265,-2.884,16.265,-2.884,16.265,-2.884,16.265,-2.884,16.265,-2.884
96.680000,39.723,1.546,39.723,1.546,39.723,1.546,39.723,1.546,39.723,1.546,39.723,1.546,39.723,1.546,39.723,1.546,39.723,1.546,39.723,1.546,39.723,1.546,39.723,1.546,39.723,1.546,39.723,1.546,39.723,1.546,39.723,1.546
99.609000,14.172,-1.285,14.172,-1.285,14.172,-1.285,14.172,-1.285,14.172,-1.285,14.172,-1.285,14.172,-1.285,14.172,-1.285,14.172,-1.285,14.172,-1.285,14.172,-1.285,14.172,-1.285,14.172,-1.285,14.172,-1.285,14.172,-1.285,14.172,-1.285
102.539000,31.2,1.762,31.2,1.762,31.2,1.762,31.2,1.762,31.2,1.762,31.2,1.762,31.2,1.762,31.2,1.762,31.2,1.762,31.2,1.762,31.2,1.762,31.2,1.762,31.2,1.762,31.2,1.762,31.2,1.762,31.2,1.762
105.469000,19.971,-0.571,19.971,-0.571,19.971,-0.571,19.971,-0.571,19.971,-0.571,19.971,-0.571,19.971,-0.571,19.971,-0.571,19.971,-0.571,19.971,-0.571,19.971,-0.571,19.971,-0.571,19.971,-0.571,19.971,-0.571,19.971,-0.571,19.971,-0.571
108.398000,5.179,1.887,5.179,1.887,5.179,1.887,5.179,1.887,5.179,1.887,5.179,1.887,5.179,1.887,5.179,1.887,5.179,1.887,5.179,1.887,5.179,1.887,5.179,1.887,5.179,1.887,5.179,1.887,5.179,1.887,5.179,1.887
111.328000,18.111,-1.809,18.111,-1.809,18.111,-1.809,18.111,-1.809,18.111,-1.809,18.111,-1.809,18.111,-1.809,18.111,-1.809,18.111,-1.809,18.111,-1.809,18.111,-1.809,18.111,-1.809,18.111,-1.809,18.111,-1.809,18.111,-1.809,18.111,-1.809
114.258000,8.904,1.945,8.904,1.945,8.904,1.945,8.904,1.945,8.904,1.945,8.904,1.945,8.904,1.945,8.904,1.945,8.904,1.945,8.904,1.945,8.904,1.945,8.904,1.945,8.904,1.945,8.904,1.945,8.904,1.945,8.904,1.945
117.188000,31.262,-2.143,31.262,-2.143,31.262,-2.143,31.262,-2.143,31.262,-2.143,31.262,-2.143,31.262,-2.143,31.262,-2.143,31.262,-2.143,31.262,-2.143,31.262,-2.143,31.262,-2.143,31.262,-2.143,31.262,-2.143,31.262,-2.143,31.262,-2.143
120.117000,20.037,2.541,20.037,2.541,20.037,2.541,20.037,2.541,20.037,2.541,20.037,2.541,20.037,2.541,20.037,2.541,20.037,2.541,20.037,2.541,20.037,2.541,20.037,2.541,20.037,2.541,20.037,2.541,20.037,2.541,20.037,2.541
123.047000,51.765,-2.822,51.765,-2.822,51.765,-2.822,51.765,-2.822,51.765,-2.822,51.765,-2.822,51.765,-2.822,51.765,-2.822,51.765,-2.822,51.765,-2.822,51.765,-2.822,51.765,-2.822,51.765,-2.822,51.765,-2.822,51.765,-2.822,51.765,-2.822
125.977000,49.545,1.62,49.545,1.62,49.545,1.62,49.545,1.62,49.545,1.62,49.545,1.62,49.545,1.62,49.545,1.62,49.545,1.62,49.545,1.62,49.545,1.62,49.545,1.62,49.545,1.62,49.545,1.62,49.545,1.62,49.545,1.62
128.906000,70.159,-2.462,70.159,-2.462,70.159,-2.462,70.159,-2.462,70.159,-2.462,70.159,-2.462,70.159,-2.462,70.159,-2.462,70.159,-2.462,70.159,-2.462,70.159,-2.462,70.159,-2.462,70.159,-2.462,70.159,-2.462,70.159,-2.462,70.159,-2.462
131.836000,60.426,-0.455,60.426,-0.455,60.426,-0.455,60.426,-0.455,60.426,-0.455,60.426,-0.455,60.426,-0.455,60.426,-0.455,60.426,-0.455,60.426,-0.455,60.426,-0.455,60.426,-0.455,60.426,-0.455,60.426,-0.455,60.426,-0.455,60.426,-0.455
134.766000,832.154,-2.355,832.154,-2.355,832.154,-2.355,832.154,-2.355,832.154,-2.355,832.154,-2.355,832.154,-2.355,832.154,-2.355,832.154,-2.355,832.154,-2.355,832.154,-2.355,832.154,-2.355,832.154,-2.355,832.154,-2.355,832.154,-2.355,832.154,-2.355
137.695000,2039.18,2.552,2039.18,2.552,2039.18,2.552,2039.18,2.552,2039.18,2.552,2039.18,2.552,2039.18,2.552,2039.18,2.552,2039.18,2.552,2039.18,2.552,2039.18,2.552,2039.18,2.552,2039.18,2.552,2039.18,2.552,2039.18,2.552,2039.18,2.552
140.625000,2843.19,1.42,2843.19,1.42,2843.19,1.42,2843.19,1.42,2843.19,1.42,2843.19,1.42,2843.19,1.42,2843.19,1.42,2843.19,1.42,2843.19,1.42,2843.19,1.42,2843.19,1.42,2843.19,1.42,2843.19,1.42,2843.19,1.42,2843.19,1.42
143.555000,3146.11,0.629,3146.11,0.629,3146.11,0.629,3146.11,0.629,3146.11,0.629,3146.11,0.629,3146.11,0.629,3146.11,0.629,3146.11,0.629,3146.11,0.629,3146.11,0.629,3146.11,0.629,3146.11,0.629,3146.11,0.629,3146.11,0.629,3146.11,0.629
