Frequency,Gain (Ch. 0),Phase (Ch. 0),Gain (Ch. 1),Phase (Ch. 1),Gain (Ch. 2),Phase (Ch. 2),Gain (Ch. 3),Phase (Ch. 3),Gain (Ch. 4),Phase (Ch. 4),Gain (Ch. 5),Phase (Ch. 5),Gain (Ch. 6),Phase (Ch. 6),Gain (Ch. 7),Phase (Ch. 7),Gain (Ch. 8),Phase (Ch. 8),Gain (Ch. 9),Phase (Ch. 9),Gain (Ch. 10),Phase (Ch. 10),Gain (Ch. 11),Phase (Ch. 11),Gain (Ch. 12),Phase (Ch. 12),Gain (Ch. 13),Phase (Ch. 13),Gain (Ch. 14),Phase (Ch. 14),Gain (Ch. 15),Phase (Ch. 15)\n
0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0\n
3.91,0.002,3.023,0.002,3.023,0.002,3.023,0.002,3.023,0.002,3.023,0.002,3.023,0.002,3.023,0.002,3.023,0.002,3.023,0.002,3.023,0.002,3.023,0.002,3.023,0.002,3.023,0.002,3.023,0.002,3.023,0.002,3.023\n
7.81,0.01,2.903,0.01,2.903,0.01,2.903,0.01,2.903,0.01,2.903,0.01,2.903,0.01,2.903,0.01,2.903,0.01,2.903,0.01,2.903,0.01,2.903,0.01,2.903,0.01,2.903,0.01,2.903,0.01,2.903,0.01,2.903\n
11.72,0.021,2.783,0.021,2.783,0.021,2.783,0.021,2.783,0.021,2.783,0.021,2.783,0.021,2.783,0.021,2.783,0.021,2.783,0.021,2.783,0.021,2.783,0.021,2.783,0.021,2.783,0.021,2.783,0.021,2.783,0.021,2.783\n
15.62,0.038,2.662,0.038,2.662,0.038,2.662,0.038,2.662,0.038,2.662,0.038,2.662,0.038,2.662,0.038,2.662,0.038,2.662,0.038,2.662,0.038,2.662,0.038,2.662,0.038,2.662,0.038,2.662,0.038,2.662,0.038,2.662\n
19.53,0.059,2.54,0.059,2.54,0.059,2.54,0.059,2.54,0.059,2.54,0.059,2.54,0.059,2.54,0.059,2.54,0.059,2.54,0.059,2.54,0.059,2.54,0.059,2.54,0.059,2.54,0.059,2.54,0.059,2.54,0.059,2.54\n
23.44,0.086,2.416,0.086,2.416,0.086,2.416,0.086,2.416,0.086,2.416,0.086,2.416,0.086,2.416,0.086,2.416,0.086,2.416,0.086,2.416,0.086,2.416,0.086,2.416,0.086,2.416,0.086,2.416,0.086,2.416,0.086,2.416\n
27.34,0.116,2.291,0.116,2.291,0.116,2.291,0.116,2.291,0.116,2.291,0.116,2.291,0.116,2.291,0.116,2.291,0.116,2.291,0.116,2.291,0.116,2.291,0.116,2.291,0.116,2.291,0.116,2.291,0.116,2.291,0.116,2.291\n
31.25,0.151,2.164,0.151,2.164,0.151,2.164,0.151,2.164,0.151,2.164,0.151,2.164,0.151,2.164,0.151,2.164,0.151,2.164,0.151,2.164,0.151,2.164,0.151,2.164,0.151,2.164,0.151,2.164,0.151,2.164,0.151,2.164\n
35.16,0.19,2.036,0.19,2.036,0.19,2.036,0.19,2.036,0.19,2.036,0.19,2.036,0.19,2.036,0.19,2.036,0.19,2.036,0.19,2.036,0.19,2.036,0.19,2.036,0.19,2.036,0.19,2.036,0.19,2.036,0.19,2.036\n
39.06,0.232,1.905,0.232,1.905,0.232,1.905,0.232,1.905,0.232,1.905,0.232,1.905,0.232,1.905,0.232,1.905,0.232,1.905,0.232,1.905,0.232,1.905,0.232,1.905,0.232,1.905,0.232,1.905,0.232,1.905,0.232,1.905\n
42.97,0.277,1.774,0.277,1.774,0.277,1.774,0.277,1.774,0.277,1.774,0.277,1.774,0.277,1.774,0.277,1.774,0.277,1.774,0.277,1.774,0.277,1.774,0.277,1.774,0.277,1.774,0.277,1.774,0.277,1.774,0.277,1.774\n
46.88,0.325,1.641,0.325,1.641,0.325,1.641,0.325,1.641,0.325,1.641,0.325,1.641,0.325,1.641,0.325,1.641,0.325,1.641,0.325,1.641,0.325,1.641,0.325,1.641,0.325,1.641,0.325,1.641,0.325,1.641,0.325,1.641\n
50.78,0.374,1.508,0.374,1.508,0.374,1.508,0.374,1.508,0.374,1.508,0.374,1.508,0.374,1.508,0.374,1.508,0.374,1.508,0.374,1.508,0.374,1.508,0.374,1.508,0.374,1.508,0.374,1.508,0.374,1.508,0.374,1.508\n
54.69,0.423,1.374,0.423,1.374,0.423,1.374,0.423,1.374,0.423,1.374,0.423,1.374,0.423,1.374,0.423,1.374,0.423,1.374,0.423,1.374,0.423,1.374,0.423,1.374,0.423,1.374,0.423,1.374,0.423,1.374,0.423,1.374\n
