Frequency,Ch0,Ch1,Ch2,Ch3,Ch4,Ch5,Ch6,Ch7,Ch8,Ch9,Ch10,Ch11,Ch12,Ch13,Ch14,Ch15
0.000000,5.65346e-19,1.02683e-19,3.75147e-19,6.72579e-20,4.34671e-19,3.118e-19,8.22442e-20,3.5398e-19,3.36082e-19,2.05813e-19,2.85515e-19,1.78403e-19,2.81614e-19,2.9321e-19,2.80416e-19,2.29997e-19
0.859107,6.74269e-19,1.22255e-19,4.48168e-19,7.89778e-20,5.19631e-19,3.7419e-19,9.78936e-20,4.23195e-19,4.01901e-19,2.41749e-19,3.38474e-19,2.15387e-19,3.36163e-19,3.5135e-19,3.34958e-19,2.75256e-19
1.718213,7.98714e-19,1.44474e-19,5.31637e-19,9.11878e-20,6.18592e-19,4.46934e-19,1.15593e-19,5.03569e-19,4.78572e-19,2.7948e-19,3.96636e-19,2.59869e-19,3.98863e-19,4.18891e-19,3.97897e-19,3.27787e-19
2.577320,9.48916e-19,1.71715e-19,6.31592e-19,1.08623e-19,7.34676e-19,5.30735e-19,1.37373e-19,5.97974e-19,5.68312e-19,3.32826e-19,4.71798e-19,3.08303e-19,4.73885e-19,4.97451e-19,4.72668e-19,3.89266e-19
3.436426,1.12933e-18,2.04911e-19,7.50417e-19,1.32752e-19,8.69933e-19,6.25988e-19,1.64013e-19,7.08552e-19,6.72899e-19,4.06241e-19,5.67661e-19,3.59903e-19,5.63006e-19,5.88215e-19,5.60964e-19,4.60711e-19
4.295533,1.33849e-18,2.43097e-19,8.88226e-19,1.59191e-19,1.02924e-18,7.38552e-19,1.94703e-19,8.38478e-19,7.96075e-19,4.87262e-19,6.76107e-19,4.22472e-19,6.66765e-19,6.9404e-19,6.6418e-19,5.44777e-19
5.154639,1.59274e-18,2.88676e-19,1.0591e-18,1.85833e-19,1.22835e-18,8.85147e-19,2.31173e-19,1.00011e-18,9.50186e-19,5.69328e-19,7.98471e-19,5.10187e-19,7.94338e-19,8.30575e-19,7.91905e-19,6.50718e-19
6.013746,1.88622e-18,3.4114e-19,1.25617e-18,2.14918e-19,1.46142e-18,1.05591e-18,2.7294e-19,1.18977e-18,1.13029e-18,6.58954e-19,9.361e-19,6.14657e-19,9.42111e-19,9.8964e-19,9.39813e-19,7.74453e-19
6.872852,2.24348e-18,4.06216e-19,1.49367e-18,2.57599e-19,1.73639e-18,1.25408e-18,3.24944e-19,1.41358e-18,1.34326e-18,7.89224e-19,1.11697e-18,7.2791e-19,1.12047e-18,1.17514e-18,1.11755e-18,9.20169e-19
7.731959,2.67022e-18,4.84508e-19,1.77377e-18,3.14777e-19,2.05606e-18,1.47834e-18,3.87922e-19,1.67518e-18,1.59e-18,9.63605e-19,1.34409e-18,8.49146e-19,1.33099e-18,1.38981e-18,1.3261e-18,1.08873e-18
8.591065,3.1679e-18,5.75198e-19,2.10264e-18,3.76512e-19,2.43643e-18,1.7487e-18,4.60889e-19,1.98505e-18,1.88427e-18,1.15252e-18,1.59987e-18,1.00098e-18,1.57841e-18,1.64369e-18,1.57237e-18,1.28964e-18
9.450172,3.76645e-18,6.82333e-19,2.50509e-18,4.3772e-19,2.90692e-18,2.09649e-18,5.4646e-19,2.36647e-18,2.24842e-18,1.34188e-18,1.88566e-18,1.2098e-18,1.87943e-18,1.96639e-18,1.87385e-18,1.54052e-18
10.309278,4.45618e-18,8.06282e-19,2.96976e-18,5.07277e-19,3.45496e-18,2.49686e-18,6.45057e-19,2.81234e-18,2.67258e-18,1.55597e-18,2.21161e-18,1.45462e-18,2.22707e-18,2.34076e-18,2.22208e-18,1.83111e-18
11.168385,5.31316e-18,9.61936e-19,3.53549e-18,6.11591e-19,4.10791e-18,2.96557e-18,7.69321e-19,3.34544e-18,3.1781e-18,1.87455e-18,2.64726e-18,1.71951e-18,2.65238e-18,2.77883e-18,2.64594e-18,2.1774e-18
12.027491,6.31851e-18,1.14694e-18,4.19742e-18,7.46908e-19,4.86396e-18,3.49418e-18,9.18336e-19,3.96403e-18,3.76208e-18,2.28687e-18,3.18393e-18,2.00639e-18,3.14973e-18,3.28678e-18,3.13855e-18,2.57588e-18
12.886598,7.50525e-18,1.36221e-18,4.98173e-18,8.90299e-19,5.77279e-18,4.14486e-18,1.09165e-18,4.70391e-18,4.46478e-18,2.72666e-18,3.7881e-18,2.37366e-18,3.74016e-18,3.8986e-18,3.72529e-18,3.05605e-18
13.745704,8.91743e-18,1.6145e-18,5.93153e-18,1.03211e-18,6.88759e-18,4.96995e-18,1.29316e-18,5.60496e-18,5.32825e-18,3.166e-18,4.45719e-18,2.87229e-18,4.45111e-18,4.66146e-18,4.43862e-18,3.64985e-18
14.604811,1.05355e-17,1.9059e-18,7.02383e-18,1.19817e-18,8.17169e-18,5.90674e-18,1.52454e-18,6.65186e-18,6.32366e-18,3.67891e-18,5.23019e-18,3.44335e-18,5.2671e-18,5.53828e-18,5.25891e-18,4.32976e-18
15.463918,1.25924e-17,2.28032e-18,8.38019e-18,1.45397e-18,9.72765e-18,7.02207e-18,1.82358e-18,7.92521e-18,7.52745e-18,4.45778e-18,6.28331e-18,4.06674e-18,6.28472e-18,6.58513e-18,6.27159e-18,5.15806e-18
16.323024,1.49668e-17,2.71749e-18,9.94251e-18,1.773e-18,1.15172e-17,8.27236e-18,2.17562e-18,9.39156e-18,8.91223e-18,5.43224e-18,7.55156e-18,4.74452e-18,7.46074e-18,7.78288e-18,7.43504e-18,6.1005e-18
17.182131,1.77887e-17,3.22842e-18,1.18146e-17,2.10547e-18,1.36893e-17,9.83404e-18,2.58754e-18,1.11561e-17,1.05917e-17,6.45292e-18,8.97746e-18,5.63737e-18,8.87087e-18,9.24869e-18,8.83805e-18,7.25077e-18
18.041237,2.11352e-17,3.82407e-18,1.40622e-17,2.43605e-18,1.63337e-17,1.17912e-17,3.06351e-18,1.32946e-17,1.26403e-17,7.48036e-18,1.05501e-17,6.82606e-18,1.05527e-17,1.10585e-17,1.05246e-17,8.65612e-18
18.900344,2.50229e-17,4.52381e-18,1.66536e-17,2.84401e-18,1.93894e-17,1.40152e-17,3.61894e-18,1.57725e-17,1.50083e-17,8.72607e-18,1.24033e-17,8.16632e-18,1.24992e-17,1.31475e-17,1.24792e-17,1.02748e-17
19.759450,2.98739e-17,5.41027e-18,1.98782e-17,3.46155e-18,2.30622e-17,1.66389e-17,4.32668e-18,1.87946e-17,1.78515e-17,1.06131e-17,1.49276e-17,9.62711e-18,1.49119e-17,1.56123e-17,1.48772e-17,1.22337e-17
20.618557,3.54926e-17,6.442e-18,2.358e-17,4.211e-18,2.7299e-17,1.95986e-17,5.15871e-18,2.22709e-17,2.11377e-17,1.29078e-17,1.79265e-17,1.1236e-17,1.76956e-17,1.84457e-17,1.76353e-17,1.4466e-17
21.477663,4.22175e-17,7.65608e-18,2.80491e-17,4.98154e-18,3.24986e-17,2.33588e-17,6.13894e-18,2.64884e-17,2.51625e-17,1.52831e-17,2.12891e-17,1.34068e-17,2.1065e-17,2.19825e-17,2.09862e-17,1.72218e-17
22.336770,5.01437e-17,9.06703e-18,3.33746e-17,5.7573e-18,3.87761e-17,2.80028e-17,7.26333e-18,3.15632e-17,3.00146e-17,1.76926e-17,2.49933e-17,1.62358e-17,2.50428e-17,2.62772e-17,2.49931e-17,2.055e-17
23.195876,5.94476e-17,1.07509e-17,3.95885e-17,6.76122e-18,4.60637e-17,3.33022e-17,8.59839e-18,3.75141e-17,3.56585e-17,2.07641e-17,2.94915e-17,1.94065e-17,2.97203e-17,3.12287e-17,2.96674e-17,2.44212e-17
24.054983,7.09327e-17,1.28511e-17,4.72167e-17,8.24786e-18,5.47406e-17,3.94557e-17,1.02762e-17,4.46341e-17,4.23815e-17,2.53072e-17,3.55126e-17,2.28138e-17,3.54147e-17,3.70388e-17,3.5321e-17,2.90445e-17
24.914089,8.42296e-17,1.52834e-17,5.5963e-17,1.00013e-17,6.47821e-17,4.64973e-17,1.22444e-17,5.28527e-17,5.01712e-17,3.0693e-17,4.2574e-17,2.66523e-17,4.20186e-17,4.37716e-17,4.18736e-17,3.43198e-17
25.773196,1.00298e-16,1.81752e-17,6.66648e-17,1.1794e-17,7.72501e-17,5.55661e-17,1.45771e-17,6.29371e-17,5.98235e-17,3.62265e-17,5.05203e-17,3.19231e-17,5.00701e-17,5.22854e-17,4.99078e-17,4.09415e-17
26.632302,1.19099e-16,2.15215e-17,7.92634e-17,1.36183e-17,9.21406e-17,6.65686e-17,1.72461e-17,7.50262e-17,7.13568e-17,4.19112e-17,5.9286e-17,3.86631e-17,5.95e-17,6.24798e-17,5.93954e-17,4.88394e-17
27.491409,1.41404e-16,2.55669e-17,9.41874e-17,1.6093e-17,1.09545e-16,7.91706e-17,2.04461e-17,8.9256e-17,8.48061e-17,4.94674e-17,7.02037e-17,4.61328e-17,7.07012e-17,7.42931e-17,7.05712e-17,5.80842e-17
28.350515,1.68645e-16,3.05583e-17,1.12229e-16,1.9673e-17,1.30068e-16,9.36841e-17,2.44357e-17,1.06102e-16,1.00755e-16,6.04063e-17,8.45582e-17,5.41243e-17,8.42198e-17,8.80769e-17,8.39753e-17,6.90225e-17
29.209622,2.00003e-16,3.628e-17,1.32938e-16,2.37441e-17,1.53833e-16,1.10417e-16,2.90653e-17,1.25418e-16,1.19193e-16,7.29862e-17,1.01208e-16,6.32996e-17,9.98583e-17,1.03956e-16,9.95092e-17,8.14875e-17
30.068729,2.38503e-16,4.31915e-17,1.58589e-16,2.79431e-17,1.83776e-16,1.32289e-16,3.46547e-17,1.49795e-16,1.42428e-16,8.59419e-17,1.20044e-16,7.61282e-17,1.19174e-16,1.24512e-16,1.18753e-16,9.743e-17
30.927835,2.83101e-16,5.11331e-17,1.88531e-16,3.2271e-17,2.1917e-16,1.5836e-16,4.09799e-17,1.78558e-16,1.69759e-16,9.94407e-17,1.40852e-16,9.21014e-17,1.4155e-16,1.48732e-16,1.41356e-16,1.16206e-16
