Frequency,Ch0,Ch1,Ch2,Ch3,Ch4,Ch5,Ch6,Ch7,Ch8,Ch9,Ch10,Ch11,Ch12,Ch13,Ch14,Ch15
0.000000,5.6485e-18,6.06514e-18,6.17192e-18,1.11636e-17,9.35105e-18,4.68662e-18,5.91223e-18,6.16661e-18,7.22582e-18,5.78481e-18,2.75566e-17,1.79764e-17,1.51262e-17,1.84312e-17,1.39001e-17,1.98981e-17
1.953125,7.26345e-18,9.98736e-18,6.23959e-18,1.87734e-17,1.70644e-17,9.51967e-18,5.47342e-18,1.07306e-17,6.20162e-18,1.33278e-17,5.64482e-18,6.18164e-18,3.64311e-18,6.35719e-18,3.11733e-18,3.41789e-18
3.906250,1.89044e-17,2.6818e-17,1.67742e-17,2.68389e-18,3.70174e-18,3.29117e-17,1.61776e-17,1.27783e-18,1.05597e-17,3.44545e-17,1.30467e-17,9.8674e-18,1.07855e-17,8.90416e-18,9.70875e-18,5.72139e-18
5.859375,8.27816e-19,8.35079e-19,9.41569e-19,8.71475e-19,9.19281e-19,8.11548e-19,8.62824e-19,8.26549e-19,1.1153e-18,9.50367e-19,2.93195e-18,2.93132e-18,2.93117e-18,2.93063e-18,2.93082e-18,2.93096e-18
7.812500,7.24657e-17,4.64644e-17,7.58008e-17,2.14635e-18,1.99465e-18,4.31183e-17,8.24452e-17,1.66038e-18,3.35653e-17,3.8786e-18,1.22147e-17,1.90728e-17,8.34026e-18,1.90424e-17,5.59206e-18,4.6576e-18
9.765625,6.63194e-17,2.39602e-17,9.54461e-17,2.73011e-18,2.55489e-18,6.75258e-18,8.56343e-17,2.28966e-18,1.21175e-16,4.14512e-18,2.20919e-17,9.28057e-18,5.82961e-18,1.90487e-17,4.12783e-18,3.97466e-18
11.718750,2.76942e-18,2.81554e-18,2.80804e-18,2.70067e-18,2.66883e-18,4.25488e-18,2.66933e-18,2.72974e-18,3.25049e-18,3.2037e-18,9.46586e-18,9.4632e-18,9.46283e-18,9.4607e-18,9.46464e-18,9.46677e-18
13.671875,2.04586e-17,1.03821e-17,7.30032e-17,5.04422e-18,5.20066e-18,8.78437e-18,3.67569e-17,4.61877e-18,2.15826e-17,7.40028e-18,4.98825e-17,1.38663e-17,8.6968e-18,2.04378e-17,7.78698e-18,7.59412e-18
15.625000,1.54159e-17,1.27354e-17,2.15155e-17,7.21459e-18,6.96326e-18,1.1406e-17,1.58275e-17,6.57903e-18,2.68749e-17,1.02203e-17,1.49331e-17,1.43264e-17,1.21481e-17,1.23031e-17,1.10611e-17,1.08276e-17
17.578125,8.6641e-18,8.60068e-18,8.92815e-18,8.56231e-18,8.57231e-18,8.69841e-18,8.79761e-18,8.55758e-18,1.07849e-17,1.05211e-17,3.05648e-17,3.05491e-17,3.05564e-17,3.05423e-17,3.06887e-17,3.072e-17
19.531250,2.58284e-17,2.28218e-17,2.94964e-17,1.4456e-17,1.45357e-17,2.17264e-17,2.76246e-17,1.37966e-17,5.17736e-17,2.07625e-17,3.0552e-17,2.91459e-17,2.56887e-17,2.52347e-17,2.36543e-17,2.32635e-17
21.484375,3.45382e-17,3.2247e-17,4.00063e-17,2.16392e-17,2.08535e-17,3.01844e-17,3.65619e-17,2.16008e-17,6.79818e-17,2.95321e-17,2.43913e-15,2.43903e-15,2.43896e-15,2.43892e-15,2.43969e-15,2.44008e-15
23.437500,2.81787e-17,2.78176e-17,2.81894e-17,2.90339e-17,2.74338e-17,2.79599e-17,2.85549e-17,2.72929e-17,3.86076e-17,3.49579e-17,9.86915e-17,9.86421e-17,9.86488e-17,9.86105e-17,9.92424e-17,1.00651e-16
25.390625,7.0242e-17,6.53323e-17,7.7617e-17,5.06579e-17,4.45145e-17,6.115e-17,7.22047e-17,4.28137e-17,1.13498e-16,6.2939e-17,4.63659e-15,4.6364e-15,4.63624e-15,4.63619e-15,4.63612e-15,4.6361e-15
27.343750,9.68468e-17,8.9828e-17,1.0613e-16,6.65552e-17,6.53301e-17,8.6652e-17,1.00591e-16,6.2465e-17,1.65163e-16,9.13961e-17,6.17221e-15,6.17203e-15,6.1718e-15,6.17179e-15,6.17166e-15,6.17163e-15
29.296875,9.21708e-17,9.34751e-17,9.39281e-17,9.30071e-17,9.04324e-17,9.09207e-17,9.10511e-17,8.89702e-17,1.52205e-16,1.17553e-16,3.20435e-16,3.19504e-16,3.1952e-16,3.19436e-16,3.19438e-16,3.20915e-16
31.250000,2.00655e-16,1.891e-16,2.22252e-16,1.47447e-16,1.42216e-16,1.81844e-16,2.08373e-16,1.39256e-16,3.24205e-16,1.99425e-16,1.22189e-14,1.22228e-14,1.22183e-14,1.22365e-14,1.22235e-14,1.2227e-14
33.203125,2.87419e-16,2.73013e-16,3.12537e-16,2.15497e-16,2.08867e-16,2.6033e-16,2.95802e-16,2.01739e-16,4.44274e-16,2.92298e-16,1.64336e-14,1.6359e-14,1.63604e-14,1.63545e-14,1.63734e-14,1.63539e-14
35.156250,2.94595e-16,3.00364e-16,3.02368e-16,3.0642e-16,2.95393e-16,2.96566e-16,2.97542e-16,2.90713e-16,4.48151e-16,3.94675e-16,1.07458e-15,1.06409e-15,1.09881e-15,1.0697e-15,1.02915e-15,1.03366e-15
37.109375,6.07056e-16,5.77844e-16,6.57884e-16,4.71484e-16,4.56859e-16,5.56436e-16,6.23943e-16,4.40442e-16,1.08245e-15,6.44155e-16,3.33239e-14,3.33195e-14,3.33207e-14,3.33474e-14,3.33513e-14,3.33432e-14
39.062500,8.64915e-16,8.26319e-16,9.39067e-16,7.03631e-16,6.73556e-16,7.99222e-16,8.92219e-16,6.522e-16,1.33858e-15,9.48182e-16,4.46298e-14,4.46272e-14,4.46263e-14,4.46254e-14,4.47149e-14,4.47743e-14
41.015625,9.65693e-16,9.80353e-16,9.86988e-16,1.00458e-15,9.67994e-16,9.72724e-16,9.71108e-16,9.4835e-16,1.34724e-15,1.3178e-15,3.32052e-15,3.3189e-15,3.31933e-15,3.31821e-15,3.32093e-15,3.32018e-15
42.968750,1.86474e-15,1.79471e-15,2.01361e-15,1.57674e-15,1.48045e-15,1.73824e-15,1.91816e-15,1.43302e-15,3.38257e-15,2.09607e-15,9.32208e-14,9.32175e-14,9.32151e-14,9.32137e-14,9.32142e-14,9.32123e-14
44.921875,2.68186e-15,2.58365e-15,2.88311e-15,2.48161e-15,2.18854e-15,2.50926e-15,2.74728e-15,2.11887e-15,4.61021e-15,3.09109e-15,1.25166e-13,1.25163e-13,1.2516e-13,1.25157e-13,1.25157e-13,1.25156e-13
46.875000,3.18158e-15,3.22871e-15,3.23517e-15,3.52707e-15,3.1752e-15,3.18931e-15,3.17703e-15,3.09776e-15,4.45821e-15,4.36929e-15,1.07155e-14,1.07121e-14,1.0713e-14,1.07089e-14,1.07096e-14,1.07127e-14
48.828125,5.85175e-15,5.63731e-15,6.24163e-15,5.00605e-15,4.81625e-15,5.47716e-15,5.96826e-15,4.66189e-15,9.1534e-15,6.82014e-15,2.65902e-13,2.65894e-13,2.65888e-13,2.65884e-13,2.65877e-13,2.65882e-13
50.781250,8.37363e-15,8.14708e-15,8.9623e-15,7.38546e-15,7.11032e-15,7.97439e-15,8.57365e-15,6.89367e-15,1.43814e-14,1.00481e-14,3.56042e-13,3.56029e-13,3.56025e-13,3.56016e-13,3.56007e-13,3.56024e-13
