 10000 6 1 0.0 0.0
 0.68495E+00 0.00000E+00 0.00000E+00 0.22416E+00 0.90883E-01 0.00000E+00
 0.24633E+00 0.00000E+00 0.00000E+00 0.12972E+00 0.62395E+00 0.00000E+00
 0.82254E+00 0.00000E+00 0.00000E+00 0.12411E+00 0.53355E-01 0.00000E+00
 0.10191E+00 0.00000E+00 0.00000E+00 0.89809E+00 0.00000E+00 0.00000E+00
 0.31779E+00 0.00000E+00 0.65513E+00 0.00000E+00 0.27086E-01 0.00000E+00
 0.31328E+00 0.00000E+00 0.00000E+00 0.55603E+00 0.13069E+00 0.00000E+00
 0.91035E+00 0.00000E+00 0.00000E+00 0.74998E-01 0.14652E-01 0.00000E+00
 0.33802E+00 0.00000E+00 0.00000E+00 0.66198E+00 0.00000E+00 0.00000E+00
 0.43900E-01 0.00000E+00 0.00000E+00 0.74251E+00 0.21359E+00 0.00000E+00
 0.44407E+00 0.00000E+00 0.00000E+00 0.40447E+00 0.15147E+00 0.00000E+00
 0.26639E+00 0.00000E+00 0.00000E+00 0.73361E+00 0.00000E+00 0.00000E+00
 0.15465E+00 0.00000E+00 0.00000E+00 0.61806E+00 0.22729E+00 0.00000E+00
 0.44175E+00 0.00000E+00 0.00000E+00 0.36371E+00 0.19454E+00 0.00000E+00
 0.12874E+00 0.00000E+00 0.00000E+00 0.87126E+00 0.00000E+00 0.00000E+00
 0.17172E+00 0.00000E+00 0.00000E+00 0.55795E+00 0.27033E+00 0.00000E+00
 0.39605E+00 0.35620E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.24776E+00
 0.67184E+00 0.00000E+00 0.00000E+00 0.15994E+00 0.16821E+00 0.00000E+00
 0.39363E+00 0.00000E+00 0.54883E+00 0.00000E+00 0.57537E-01 0.00000E+00
 0.34052E+00 0.00000E+00 0.49128E+00 0.00000E+00 0.16820E+00 0.00000E+00
 0.24323E+00 0.00000E+00 0.00000E+00 0.58404E+00 0.17273E+00 0.00000E+00
 0.72718E+00 0.00000E+00 0.18566E+00 0.00000E+00 0.87167E-01 0.00000E+00
 0.55805E-01 0.00000E+00 0.00000E+00 0.89439E+00 0.49801E-01 0.00000E+00
 0.80957E+00 0.00000E+00 0.00000E+00 0.11025E+00 0.80183E-01 0.00000E+00
 0.43185E+00 0.00000E+00 0.00000E+00 0.39821E+00 0.16994E+00 0.00000E+00
 0.30189E+00 0.00000E+00 0.00000E+00 0.63249E+00 0.65622E-01 0.00000E+00
 0.14011E+00 0.00000E+00 0.00000E+00 0.85989E+00 0.00000E+00 0.00000E+00
 0.79795E-01 0.00000E+00 0.32535E+00 0.00000E+00 0.59486E+00 0.00000E+00
 0.44231E-01 0.40970E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.54607E+00
 0.12162E-01 0.00000E+00 0.00000E+00 0.85994E+00 0.12790E+00 0.00000E+00
 0.87088E-01 0.00000E+00 0.00000E+00 0.15565E+00 0.75726E+00 0.00000E+00
 0.43719E+00 0.00000E+00 0.00000E+00 0.43357E+00 0.12924E+00 0.00000E+00
 0.33467E+00 0.15492E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.51042E+00
 0.69755E-01 0.39334E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.53691E+00
 0.97539E-01 0.00000E+00 0.00000E+00 0.90246E+00 0.00000E+00 0.00000E+00
 0.12264E+00 0.00000E+00 0.49737E+00 0.00000E+00 0.37999E+00 0.00000E+00
 0.65636E+00 0.00000E+00 0.00000E+00 0.31736E+00 0.26274E-01 0.00000E+00
 0.34896E+00 0.00000E+00 0.00000E+00 0.65104E+00 0.00000E+00 0.00000E+00
 0.54901E+00 0.00000E+00 0.00000E+00 0.37731E+00 0.73687E-01 0.00000E+00
 0.12398E+00 0.00000E+00 0.42974E+00 0.00000E+00 0.44628E+00 0.00000E+00
 0.37062E+00 0.00000E+00 0.00000E+00 0.62938E+00 0.00000E+00 0.00000E+00
 0.77743E+00 0.00000E+00 0.00000E+00 0.70746E-01 0.15182E+00 0.00000E+00
 0.30680E+00 0.00000E+00 0.00000E+00 0.18171E+00 0.51149E+00 0.00000E+00
 0.64402E+00 0.00000E+00 0.00000E+00 0.85054E-01 0.27093E+00 0.00000E+00
 0.32763E+00 0.29650E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.37587E+00
 0.48655E+00 0.00000E+00 0.00000E+00 0.15144E+00 0.36201E+00 0.00000E+00
 0.11618E+00 0.00000E+00 0.00000E+00 0.68667E+00 0.19715E+00 0.00000E+00
 0.31820E+00 0.00000E+00 0.00000E+00 0.68180E+00 0.00000E+00 0.00000E+00
 0.31521E-01 0.00000E+00 0.00000E+00 0.33788E+00 0.63060E+00 0.00000E+00
 0.58072E+00 0.00000E+00 0.00000E+00 0.86387E-01 0.33289E+00 0.00000E+00
 0.67041E+00 0.00000E+00 0.00000E+00 0.14222E+00 0.18737E+00 0.00000E+00
 0.58834E+00 0.23357E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.17809E+00
 0.25366E+00 0.00000E+00 0.00000E+00 0.24105E+00 0.50529E+00 0.00000E+00
 0.16764E+00 0.00000E+00 0.00000E+00 0.83236E+00 0.00000E+00 0.00000E+00
 0.62224E+00 0.00000E+00 0.00000E+00 0.14436E+00 0.23340E+00 0.00000E+00
 0.56276E+00 0.00000E+00 0.00000E+00 0.43724E+00 0.00000E+00 0.00000E+00
 0.45308E-01 0.76279E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.19191E+00
 0.74955E-01 0.00000E+00 0.00000E+00 0.92505E+00 0.00000E+00 0.00000E+00
 0.26556E+00 0.62070E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.11374E+00
 0.15115E-01 0.00000E+00 0.00000E+00 0.98489E+00 0.00000E+00 0.00000E+00
 0.58407E+00 0.00000E+00 0.31405E+00 0.00000E+00 0.10188E+00 0.00000E+00
 0.77289E-01 0.00000E+00 0.00000E+00 0.65470E+00 0.26801E+00 0.00000E+00
 0.85645E-01 0.00000E+00 0.11453E+00 0.00000E+00 0.79983E+00 0.00000E+00
 0.20348E+00 0.00000E+00 0.60547E+00 0.00000E+00 0.19105E+00 0.00000E+00
 0.19516E+00 0.78693E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.17911E-01
