freq : 83.33 MHz
SWR : 2.18
 Theta 	 Phi 	 Gain(dB) 	 Gain 
0 	 0 	 -80.83   	 0.00
5 	 0 	 -21.10   	 0.01
10 	 0 	 -15.10   	 0.03
15 	 0 	 -11.62   	 0.07
20 	 0 	 -9.19   	 0.12
25 	 0 	 -7.34   	 0.18
30 	 0 	 -5.86   	 0.26
35 	 0 	 -4.65   	 0.34
40 	 0 	 -3.64   	 0.43
45 	 0 	 -2.79   	 0.53
50 	 0 	 -2.08   	 0.62
55 	 0 	 -1.48   	 0.71
60 	 0 	 -0.98   	 0.80
65 	 0 	 -0.57   	 0.88
70 	 0 	 -0.25   	 0.94
75 	 0 	 0.00   	 1.00
80 	 0 	 0.18   	 1.04
85 	 0 	 0.29   	 1.07
90 	 0 	 0.32   	 1.08
95 	 0 	 0.29   	 1.07
100 	 0 	 0.18   	 1.04
105 	 0 	 0.01   	 1.00
110 	 0 	 -0.25   	 0.94
115 	 0 	 -0.57   	 0.88
120 	 0 	 -0.98   	 0.80
125 	 0 	 -1.48   	 0.71
130 	 0 	 -2.08   	 0.62
135 	 0 	 -2.79   	 0.53
140 	 0 	 -3.64   	 0.43
145 	 0 	 -4.65   	 0.34
150 	 0 	 -5.86   	 0.26
155 	 0 	 -7.33   	 0.18
160 	 0 	 -9.19   	 0.12
165 	 0 	 -11.62   	 0.07
170 	 0 	 -15.09   	 0.03
175 	 0 	 -21.08   	 0.01
180 	 0 	 -80.83   	 0.00
0 	 5 	 -80.83   	 0.00
5 	 5 	 -21.10   	 0.01
10 	 5 	 -15.10   	 0.03
15 	 5 	 -11.62   	 0.07
20 	 5 	 -9.19   	 0.12
25 	 5 	 -7.34   	 0.18
30 	 5 	 -5.86   	 0.26
35 	 5 	 -4.65   	 0.34
40 	 5 	 -3.64   	 0.43
45 	 5 	 -2.79   	 0.53
50 	 5 	 -2.08   	 0.62
55 	 5 	 -1.48   	 0.71
60 	 5 	 -0.98   	 0.80
65 	 5 	 -0.57   	 0.88
70 	 5 	 -0.25   	 0.94
75 	 5 	 0.00   	 1.00
80 	 5 	 0.18   	 1.04
85 	 5 	 0.29   	 1.07
90 	 5 	 0.32   	 1.08
95 	 5 	 0.29   	 1.07
100 	 5 	 0.18   	 1.04
105 	 5 	 0.01   	 1.00
110 	 5 	 -0.25   	 0.94
115 	 5 	 -0.57   	 0.88
120 	 5 	 -0.98   	 0.80
125 	 5 	 -1.48   	 0.71
130 	 5 	 -2.08   	 0.62
135 	 5 	 -2.79   	 0.53
140 	 5 	 -3.64   	 0.43
145 	 5 	 -4.65   	 0.34
150 	 5 	 -5.86   	 0.26
155 	 5 	 -7.33   	 0.18
160 	 5 	 -9.19   	 0.12
165 	 5 	 -11.62   	 0.07
170 	 5 	 -15.09   	 0.03
175 	 5 	 -21.08   	 0.01
180 	 5 	 -80.83   	 0.00
0 	 10 	 -80.83   	 0.00
5 	 10 	 -21.10   	 0.01
10 	 10 	 -15.10   	 0.03
15 	 10 	 -11.62   	 0.07
20 	 10 	 -9.19   	 0.12
25 	 10 	 -7.34   	 0.18
30 	 10 	 -5.86   	 0.26
35 	 10 	 -4.65   	 0.34
40 	 10 	 -3.64   	 0.43
45 	 10 	 -2.79   	 0.53
50 	 10 	 -2.08   	 0.62
55 	 10 	 -1.48   	 0.71
60 	 10 	 -0.98   	 0.80
65 	 10 	 -0.57   	 0.88
70 	 10 	 -0.25   	 0.94
75 	 10 	 0.01   	 1.00
80 	 10 	 0.18   	 1.04
85 	 10 	 0.29   	 1.07
90 	 10 	 0.32   	 1.08
95 	 10 	 0.29   	 1.07
100 	 10 	 0.18   	 1.04
105 	 10 	 0.01   	 1.00
110 	 10 	 -0.24   	 0.95
115 	 10 	 -0.57   	 0.88
120 	 10 	 -0.98   	 0.80
125 	 10 	 -1.48   	 0.71
130 	 10 	 -2.08   	 0.62
135 	 10 	 -2.79   	 0.53
140 	 10 	 -3.64   	 0.43
145 	 10 	 -4.65   	 0.34
150 	 10 	 -5.86   	 0.26
155 	 10 	 -7.33   	 0.18
160 	 10 	 -9.19   	 0.12
165 	 10 	 -11.62   	 0.07
170 	 10 	 -15.09   	 0.03
175 	 10 	 -21.08   	 0.01
180 	 10 	 -80.83   	 0.00
0 	 15 	 -80.83   	 0.00
5 	 15 	 -21.10   	 0.01
10 	 15 	 -15.10   	 0.03
15 	 15 	 -11.62   	 0.07
20 	 15 	 -9.19   	 0.12
25 	 15 	 -7.34   	 0.18
30 	 15 	 -5.86   	 0.26
35 	 15 	 -4.65   	 0.34
40 	 15 	 -3.64   	 0.43
45 	 15 	 -2.79   	 0.53
50 	 15 	 -2.08   	 0.62
55 	 15 	 -1.48   	 0.71
60 	 15 	 -0.98   	 0.80
65 	 15 	 -0.57   	 0.88
70 	 15 	 -0.25   	 0.94
75 	 15 	 0.01   	 1.00
80 	 15 	 0.18   	 1.04
85 	 15 	 0.29   	 1.07
90 	 15 	 0.32   	 1.08
95 	 15 	 0.29   	 1.07
100 	 15 	 0.18   	 1.04
105 	 15 	 0.01   	 1.00
110 	 15 	 -0.24   	 0.95
115 	 15 	 -0.57   	 0.88
120 	 15 	 -0.98   	 0.80
125 	 15 	 -1.48   	 0.71
