freq : 83.33 MHz
SWR : 1.80
 Theta 	 Phi 	 Gain(dB) 	 Gain 
0 	 0 	 -999.99   	 0.00
5 	 0 	 -19.61   	 0.01
10 	 0 	 -13.62   	 0.04
15 	 0 	 -10.15   	 0.10
20 	 0 	 -7.71   	 0.17
25 	 0 	 -5.86   	 0.26
30 	 0 	 -4.39   	 0.36
35 	 0 	 -3.18   	 0.48
40 	 0 	 -2.17   	 0.61
45 	 0 	 -1.33   	 0.74
50 	 0 	 -0.61   	 0.87
55 	 0 	 -0.01   	 1.00
60 	 0 	 0.49   	 1.12
65 	 0 	 0.90   	 1.23
70 	 0 	 1.22   	 1.32
75 	 0 	 1.47   	 1.40
80 	 0 	 1.65   	 1.46
85 	 0 	 1.75   	 1.50
90 	 0 	 1.79   	 1.51
95 	 0 	 1.75   	 1.50
100 	 0 	 1.65   	 1.46
105 	 0 	 1.47   	 1.40
110 	 0 	 1.22   	 1.32
115 	 0 	 0.90   	 1.23
120 	 0 	 0.49   	 1.12
125 	 0 	 -0.01   	 1.00
130 	 0 	 -0.61   	 0.87
135 	 0 	 -1.33   	 0.74
140 	 0 	 -2.17   	 0.61
145 	 0 	 -3.18   	 0.48
150 	 0 	 -4.39   	 0.36
155 	 0 	 -5.86   	 0.26
160 	 0 	 -7.71   	 0.17
165 	 0 	 -10.15   	 0.10
170 	 0 	 -13.62   	 0.04
175 	 0 	 -19.61   	 0.01
180 	 0 	 -999.99   	 0.00
0 	 5 	 -999.99   	 0.00
5 	 5 	 -19.61   	 0.01
10 	 5 	 -13.62   	 0.04
15 	 5 	 -10.15   	 0.10
20 	 5 	 -7.71   	 0.17
25 	 5 	 -5.86   	 0.26
30 	 5 	 -4.39   	 0.36
35 	 5 	 -3.18   	 0.48
40 	 5 	 -2.17   	 0.61
45 	 5 	 -1.33   	 0.74
50 	 5 	 -0.61   	 0.87
55 	 5 	 -0.01   	 1.00
60 	 5 	 0.49   	 1.12
65 	 5 	 0.90   	 1.23
70 	 5 	 1.22   	 1.32
75 	 5 	 1.47   	 1.40
80 	 5 	 1.65   	 1.46
85 	 5 	 1.75   	 1.50
90 	 5 	 1.79   	 1.51
95 	 5 	 1.75   	 1.50
100 	 5 	 1.65   	 1.46
105 	 5 	 1.47   	 1.40
110 	 5 	 1.22   	 1.32
115 	 5 	 0.90   	 1.23
120 	 5 	 0.49   	 1.12
125 	 5 	 -0.01   	 1.00
130 	 5 	 -0.61   	 0.87
135 	 5 	 -1.33   	 0.74
140 	 5 	 -2.17   	 0.61
145 	 5 	 -3.18   	 0.48
150 	 5 	 -4.39   	 0.36
155 	 5 	 -5.86   	 0.26
160 	 5 	 -7.71   	 0.17
165 	 5 	 -10.15   	 0.10
170 	 5 	 -13.62   	 0.04
175 	 5 	 -19.61   	 0.01
180 	 5 	 -999.99   	 0.00
0 	 10 	 -999.99   	 0.00
5 	 10 	 -19.61   	 0.01
10 	 10 	 -13.62   	 0.04
