realTime 	 junk 	 GPS LAT 	 GPS LONG 	 GPS ALT 	 heading 	 junk 	 junk 	 junk
-600793	0	-77.8623	167.079	-36.45	48.7382	0	0	0
-524305	0	-77.8622	167.079	-30.87	204.491	0	0	0
-524236	0	-77.8622	167.079	-31.11	205.341	0	0	0
-524174	0	-77.8622	167.079	-32.15	204.309	0	0	0
-524077	0	-77.8622	167.079	-31.39	209.974	0	0	0
-524033	0	-77.8622	167.079	-31.01	208.601	0	0	0
-524000	0	-77.8622	167.079	-30.83	206.455	0	0	0
-206381	0	-77.8618	167.063	-22.17	999	0	0	0
-206348	0	-77.8618	167.062	-22.97	999	0	0	0
-206335	0	-77.8618	167.062	-23.24	999	0	0	0
-206323	0	-77.8618	167.062	-23.65	999	0	0	0
-206313	0	-77.8618	167.062	-24.03	999	0	0	0
-206303	0	-77.8618	167.062	-24.47	999	0	0	0
-206293	0	-77.8618	167.062	-24.93	999	0	0	0
-206284	0	-77.8618	167.062	-25.3	999	0	0	0
-206273	0	-77.8618	167.062	-25.6	999	0	0	0
-206263	0	-77.8618	167.062	-25.76	999	0	0	0
-206251	0	-77.8618	167.062	-25.86	999	0	0	0
-206241	0	-77.8618	167.062	-25.98	999	0	0	0
-206230	0	-77.8618	167.062	-26.19	999	0	0	0
-206220	0	-77.8618	167.062	-26.44	999	0	0	0
-206209	0	-77.8618	167.062	-26.76	999	0	0	0
-206197	0	-77.8618	167.062	-27.06	999	0	0	0
-206089	0	-77.8618	167.063	-24.21	999	0	0	0
-206079	0	-77.8618	167.063	-24.25	999	0	0	0
-206069	0	-77.8618	167.063	-24.32	999	0	0	0
-206059	0	-77.8618	167.063	-24.46	999	0	0	0
-206047	0	-77.8618	167.063	-24.67	999	0	0	0
-206037	0	-77.8618	167.063	-24.89	999	0	0	0
-206027	0	-77.8618	167.063	-25.13	999	0	0	0
-206015	0	-77.8618	167.063	-25.43	999	0	0	0
-206004	0	-77.8618	167.063	-25.71	999	0	0	0
-205992	0	-77.8618	167.063	-25.98	999	0	0	0
-205981	0	-77.8618	167.063	-26.16	999	0	0	0
-205969	0	-77.8618	167.063	-26.33	999	0	0	0
-205959	0	-77.8618	167.063	-26.47	999	0	0	0
-205949	0	-77.8618	167.063	-26.62	999	0	0	0
-205939	0	-77.8618	167.063	-26.81	999	0	0	0
-205929	0	-77.8618	167.063	-27.02	999	0	0	0
-205917	0	-77.8618	167.063	-27.3	999	0	0	0
-205907	0	-77.8618	167.063	-27.53	999	0	0	0
-205897	0	-77.8618	167.063	-27.72	999	0	0	0
-205885	0	-77.8618	167.063	-27.9	999	0	0	0
-205871	0	-77.8618	167.063	-27.99	999	0	0	0
-205861	0	-77.8618	167.063	-27.85	999	0	0	0
-205848	0	-77.8618	167.063	-27.1	999	0	0	0
-205834	0	-77.8618	167.063	-26.48	999	0	0	0
-205823	0	-77.8618	167.063	-26.13	999	0	0	0
-205813	0	-77.8618	167.063	-25.9	999	0	0	0
-205802	0	-77.8618	167.063	-25.75	999	0	0	0
-205791	0	-77.8618	167.063	-25.65	999	0	0	0
-205780	0	-77.8618	167.063	-25.51	999	0	0	0
-205769	0	-77.8618	167.063	-25.32	999	0	0	0
-205759	0	-77.8618	167.063	-25.14	999	0	0	0
-205746	0	-77.8618	167.063	-24.92	999	0	0	0
-205735	0	-77.8618	167.063	-24.78	999	0	0	0
-205723	0	-77.8618	167.063	-24.65	999	0	0	0
-205713	0	-77.8618	167.063	-24.56	999	0	0	0
-205702	0	-77.8618	167.063	-24.49	999	0	0	0
-205690	0	-77.8618	167.063	-24.45	999	0	0	0
-205680	0	-77.8618	167.063	-24.44	999	0	0	0
-205668	0	-77.8618	167.063	-24.48	999	0	0	0
-205657	0	-77.8618	167.063	-24.58	999	0	0	0
-205647	0	-77.8618	167.063	-24.74	999	0	0	0
-205634	0	-77.8618	167.063	-24.97	999	0	0	0
-205623	0	-77.8618	167.063	-25.06	999	0	0	0
-205613	0	-77.8618	167.063	-25.11	999	0	0	0
-205602	0	-77.8618	167.063	-25.42	999	0	0	0
-205590	0	-77.8618	167.063	-25.87	999	0	0	0
-205580	0	-77.8618	167.063	-26.14	999	0	0	0
-205567	0	-77.8618	167.063	-26.43	999	0	0	0
-205555	0	-77.8618	167.063	-26.71	999	0	0	0
-205543	0	-77.8618	167.062	-27.01	999	0	0	0
-205532	0	-77.8618	167.062	-27.28	999	0	0	0
-205522	0	-77.8618	167.062	-27.43	999	0	0	0
-205509	0	-77.8618	167.062	-27.62	999	0	0	0
-205497	0	-77.8618	167.062	-27.9	999	0	0	0
-205485	0	-77.8618	167.062	-28.27	999	0	0	0
-205474	0	-77.8618	167.062	-28.57	999	0	0	0
-205459	0	-77.8618	167.062	-28.6	999	0	0	0
-205448	0	-77.8618	167.062	-28.61	999	0	0	0
-205437	0	-77.8618	167.062	-28.62	999	0	0	0
-205427	0	-77.8618	167.062	-28.6	999	0	0	0
-205412	0	-77.8618	167.062	-28.53	999	0	0	0
-205402	0	-77.8618	167.062	-28.46	999	0	0	0
-205390	0	-77.8618	167.062	-28.37	999	0	0	0
-205376	0	-77.8618	167.062	-28.26	999	0	0	0
-205366	0	-77.8618	167.062	-28.18	999	0	0	0
-205353	0	-77.8618	167.062	-28.11	999	0	0	0
-205345	0	-77.8618	167.062	-28.07	999	0	0	0
-205334	0	-77.8618	167.062	-28	999	0	0	0
-205320	0	-77.8618	167.062	-27.86	999	0	0	0
-205307	0	-77.8618	167.062	-27.67	999	0	0	0
-205296	0	-77.8618	167.062	-27.49	999	0	0	0
-205286	0	-77.8618	167.062	-27.32	999	0	0	0
-205275	0	-77.8618	167.062	-27.15	999	0	0	0
-205265	0	-77.8618	167.062	-27.04	999	0	0	0
-205254	0	-77.8618	167.062	-26.95	999	0	0	0
-205242	0	-77.8618	167.062	-26.88	999	0	0	0
-205231	0	-77.8618	167.062	-26.82	999	0	0	0
-205221	0	-77.8618	167.062	-26.78	999	0	0	0
-205210	0	-77.8618	167.063	-26.73	999	0	0	0
-205199	0	-77.8618	167.063	-26.68	999	0	0	0
-205188	0	-77.8618	167.063	-26.66	999	0	0	0
-205175	0	-77.8618	167.063	-26.65	999	0	0	0
-205162	0	-77.8618	167.063	-26.65	999	0	0	0
-205151	0	-77.8618	167.063	-26.68	999	0	0	0
-205140	0	-77.8618	167.063	-26.71	999	0	0	0
-205128	0	-77.8618	167.063	-26.72	999	0	0	0
-205116	0	-77.8618	167.063	-26.73	999	0	0	0
-205106	0	-77.8618	167.063	-26.72	999	0	0	0
-205092	0	-77.8618	167.063	-26.72	999	0	0	0
-205079	0	-77.8618	167.063	-26.7	999	0	0	0
-205068	0	-77.8618	167.063	-26.75	999	0	0	0
-205057	0	-77.8618	167.063	-26.87	999	0	0	0
-205046	0	-77.8618	167.063	-26.92	999	0	0	0
-205036	0	-77.8618	167.063	-26.96	999	0	0	0
-205025	0	-77.8618	167.063	-26.99	999	0	0	0
-205013	0	-77.8618	167.063	-26.99	999	0	0	0
-205002	0	-77.8618	167.063	-26.96	999	0	0	0
-204989	0	-77.8618	167.063	-26.92	999	0	0	0
-204978	0	-77.8618	167.063	-26.85	999	0	0	0
-204962	0	-77.8618	167.063	-26.74	999	0	0	0
-204952	0	-77.8618	167.063	-26.7	999	0	0	0
-204939	0	-77.8618	167.063	-26.69	999	0	0	0
-204927	0	-77.8618	167.063	-26.67	999	0	0	0
-204916	0	-77.8618	167.063	-26.65	999	0	0	0
-204906	0	-77.8618	167.063	-26.62	999	0	0	0
-204896	0	-77.8618	167.063	-26.58	999	0	0	0
-204887	0	-77.8618	167.063	-26.57	999	0	0	0
-204876	0	-77.8618	167.063	-26.56	999	0	0	0
-204866	0	-77.8618	167.063	-26.57	999	0	0	0
-204856	0	-77.8618	167.063	-26.6	999	0	0	0
-204846	0	-77.8618	167.063	-26.63	999	0	0	0
-204832	0	-77.8618	167.063	-26.64	999	0	0	0
-204819	0	-77.8618	167.063	-26.63	999	0	0	0
-204808	0	-77.8618	167.063	-26.63	999	0	0	0
-204796	0	-77.8618	167.062	-26.6	999	0	0	0
-204786	0	-77.8618	167.062	-26.56	999	0	0	0
-204775	0	-77.8618	167.062	-26.52	999	0	0	0
-204765	0	-77.8618	167.062	-26.48	999	0	0	0
-204752	0	-77.8618	167.062	-26.44	999	0	0	0
-204738	0	-77.8618	167.062	-26.33	999	0	0	0
-204727	0	-77.8618	167.062	-26.16	999	0	0	0
-204716	0	-77.8618	167.063	-25.86	999	0	0	0
-204706	0	-77.8618	167.063	-25.7	999	0	0	0
-204696	0	-77.8618	167.062	-25.62	999	0	0	0
-204684	0	-77.8618	167.062	-25.43	999	0	0	0
-204674	0	-77.8618	167.062	-25.33	999	0	0	0
-204664	0	-77.8618	167.062	-25.12	999	0	0	0
-204652	0	-77.8618	167.063	-24.77	999	0	0	0
-204640	0	-77.8618	167.063	-24.39	999	0	0	0
-204627	0	-77.8618	167.063	-23.99	999	0	0	0
-204611	0	-77.8618	167.063	-23.48	999	0	0	0
-204599	0	-77.8618	167.063	-23.14	999	0	0	0
-204588	0	-77.8618	167.063	-22.88	999	0	0	0
-204576	0	-77.8618	167.063	-22.65	999	0	0	0
-204565	0	-77.8618	167.063	-22.47	999	0	0	0
-204554	0	-77.8618	167.063	-22.32	999	0	0	0
-204539	0	-77.8618	167.063	-22.13	999	0	0	0
-204526	0	-77.8618	167.063	-22.04	999	0	0	0
-204516	0	-77.8618	167.063	-21.99	999	0	0	0
-204502	0	-77.8618	167.063	-21.87	999	0	0	0
-204489	0	-77.8618	167.063	-21.79	999	0	0	0
-204479	0	-77.8618	167.063	-21.75	999	0	0	0
-204468	0	-77.8618	167.063	-21.69	999	0	0	0
-204454	0	-77.8618	167.063	-21.58	999	0	0	0
-204443	0	-77.8618	167.063	-21.44	999	0	0	0
-204432	0	-77.8618	167.063	-21.23	999	0	0	0
-204419	0	-77.8618	167.063	-20.96	999	0	0	0
-204407	0	-77.8618	167.063	-20.74	999	0	0	0
-204393	0	-77.8618	167.063	-20.53	999	0	0	0
-204381	0	-77.8618	167.063	-20.38	999	0	0	0
-204369	0	-77.8618	167.063	-20.25	999	0	0	0
-204355	0	-77.8618	167.063	-20.07	999	0	0	0
