//VERSION=0.1
//EVENT_NUM=10000
//evid nuflavorint nu_nubar pnu currentint posnu_r posnu_theta posnu_phi nnu_theta nnu_phi elast_y
00000080 2 1 21.000 0 1247.1383 -0.5847 4.3200 1.7573 6.8766 0.9473
00001316 1 1 21.000 1 1242.0634 -0.5251 5.2936 1.8239 8.7552 0.0035
00001452 1 1 21.000 1 916.7374 -0.4347 3.6581 0.7234 7.9197 0.0526
00001511 3 0 21.000 1 1697.1950 -0.5509 3.9837 1.9516 7.1694 0.7199
00002276 1 0 21.000 1 1707.0805 -0.5138 3.9672 1.8925 6.9488 0.0037
00003590 1 0 21.000 1 225.1590 -0.0995 0.6981 2.1769 3.5297 0.1407
00004334 1 0 21.000 1 1119.7764 -0.5066 6.0930 1.6655 8.4916 0.3118
00004979 3 0 21.000 0 1038.0423 -0.5049 5.1888 1.7494 7.6082 0.9150
00005100 1 1 21.000 1 1762.5779 -0.5122 5.0405 1.9075 8.0236 0.0048
00006072 1 1 21.000 1 1559.9719 -0.4890 6.0713 1.9009 8.6766 0.2018
